x	Meradji
1	50
1.0494265868915238    50.42641719126475
1.1430667461805426    51.36444923762435
1.2497154100775334    52.387782468669215
1.3589733541015887    53.311698706987535
1.4812434999070159    54.26409796917961
1.5853087638907424    54.989121067270425
1.715396582850513    55.79951929351452
1.8871191957612643    56.76640408108787
2.1186953488449474    57.904083491048574
2.2566036138391112    58.529867060736045
2.3971165374935897    59.12725633871135
2.579267027979099    59.83851855740729
2.7275920790278203    60.37913404065189
2.865513284128885    60.80605404749905
3.0320635514530068    61.26154581038158
3.209025059071587    61.7170967280385
3.3547620887402942    62.030424779343434
3.4562587415043566    62.22986510123414
