x	WNLT
1	50
1.01507568020177	50.1622343623473
1.03030548389565	50.3247437849514
1.04569365315448	50.4875132877436
1.06124456420468	50.6505262689552
1.07696273293443	50.8137637484563
1.09285282067414	50.9772044144496
1.10891964026505	51.1408246442622
1.12516816243283	51.3045983379487
1.14160352248427	51.4684970118814
1.15823102734634	51.6324899053846
1.17505616296816	51.7965438778037
1.19208460210803	51.9606234712627
1.20932221252894	52.1246909933297
1.22677506562798	52.2887066796233
1.24444944552658	52.452628474061
1.26235185865048	52.6164121870481
1.28048904383082	52.7800115320769
1.29886798295928	52.9433777863099
1.3174959122335	53.1064606474799
1.33638033403101	53.2692064648733
1.35552902945315	53.431559532687
1.37495007158354	53.5934614717265
1.39465183950899	53.7548509738566
1.41464303315459	53.9156628384036
1.43493268898861	54.0758285961009
1.45553019665734	54.2352756479205
1.4764453166148	54.3939267258168
1.49768819881743	54.5516994794949
1.51926940255949	54.7085059223196
1.54119991753144	54.8642519352256
1.56349118618998	55.018836911414
1.58615512753619	55.1721527730541
1.60920416240634	55.3240839202495
1.63265124038866	55.4745068692848
1.65650986848961	55.6232898665555
1.68079414168356	55.7702929283585
1.70551877549205	55.915368050524
1.73069914075153	56.0583594866207
1.75635130074323	56.1991043877386
1.7824920508744	56.3374340276689
