-3.63046,0.0409
-3.62172,0.1612
-3.60424,0.3652
-3.57803,0.5273
-3.55556,0.6528
-3.53308,0.7626
-3.50062,0.8933
-3.47316,1.0031
-3.34082,1.4213
-3.30587,1.5206
-3.26217,1.6304
-3.22347,1.7297
-3.18227,1.8263
-3.15106,1.9021
-3.00375,2.2156
-2.97378,2.2836
-2.92135,2.3828
-2.8814,2.4717
-2.83396,2.5605
-2.78402,2.6545
-2.74657,2.7329
-2.55805,3.0751
-2.51186,3.156
-2.46941,3.2239
-2.41448,3.318
-2.36454,3.3963
-2.31461,3.4851
-2.26966,3.5583
-2.22472,3.6261
-2.02247,3.9552
-1.97753,4.0283
-1.92759,4.1067
-1.88015,4.185
-1.82896,4.2608
-1.77778,4.3313
-1.72909,4.407
-1.6779,4.4853
-1.46567,4.7856
-1.42821,4.843
-1.37578,4.9214
-1.32335,4.9945
-1.27091,5.0676
-1.22347,5.1407
-1.16854,5.2164
-1.11735,5.2869
-1.06742,5.3548
-0.85893,5.6525
-0.80899,5.7151
-0.75905,5.783
-0.70412,5.8613
-0.66167,5.9135
-0.59925,5.9971
-0.55431,6.065
-0.50187,6.1276
-0.44694,6.2007
-0.196,6.5427
-0.13733,6.6289
-0.09238,6.6968
-0.03496,6.7699
0.01248,6.8273
0.06742,6.9004
0.11985,6.9683
0.16979,7.0257
0.21723,7.0988
0.42447,7.3756
0.4769,7.4591
0.53184,7.527
0.58677,7.6001
0.6392,7.668
0.68165,7.7307
0.74157,7.8037
0.79401,7.8612
0.83895,7.929
1.10112,8.2998
1.15605,8.3729
1.2035,8.4382
1.25593,8.5191
1.30337,8.587
1.3583,8.6758
1.40075,8.7333
1.46067,8.8011
1.66542,9.1145
1.71036,9.1745
1.7603,9.2503
1.81523,9.3338
1.86517,9.4069
1.90512,9.4748
1.95755,9.5584
2.01498,9.6315
2.21473,9.9606
2.24719,10.018
2.29963,10.0964
2.34707,10.18
2.402,10.2792
2.44694,10.3419
2.48939,10.4255
2.54432,10.5038
2.73658,10.8538
2.77154,10.9374
2.82022,11.0315
2.86142,11.1151
2.90886,11.1987
2.95381,11.2823
2.98627,11.3659
3.16604,11.7526
3.20849,11.8518
3.24719,11.9511
3.29089,12.0557
3.32085,12.1498
3.34831,12.2282
3.46067,12.5784
3.49313,12.6856
3.5206,12.7927
3.54806,12.9261
3.57054,13.0385
3.6005,13.2425
3.62047,13.415
3.62547,13.5354
