
# Surface 0 of 1 surfaces

# Curve title: ""C:/Users/stange/AppData/Local/Temp/11/tmp8392.tmp""

# Contour 0, label:        1
-2.7846 -0.040404  1 
-2.7846  0.040404  1 
-2.78385  0.121212  1 
-2.78229  0.20202  1 
-2.7798  0.282828  1 
-2.77618  0.363636  1 
-2.77551  0.374282  1 
-2.77061  0.444444  1 
-2.76317  0.525253  1 
-2.75367  0.606061  1 
-2.74185  0.686869  1 
-2.72742  0.767677  1 
-2.71012  0.848485  1 
-2.68974  0.929293  1 
-2.67347  0.984415  1 
-2.6652  1.0101  1 
-2.63494  1.09091  1 
-2.60082  1.17172  1 
-2.57143  1.23398  1 
-2.5618  1.25253  1 
-2.51486  1.33333  1 
-2.46939  1.40538  1 
-2.46322  1.41414  1 
-2.40131  1.49495  1 
-2.36735  1.53662  1 
-2.33143  1.57576  1 
-2.26531  1.64447  1 
-2.25209  1.65657  1 
-2.16327  1.73527  1 

