0,0.01
0.001,0.0099816
0.002,0.0099269
0.003,0.0098365
0.004,0.0097109
0.005,0.0095508
0.006,0.009357
0.007,0.0091304
0.008,0.0088719
0.009,0.0085826
0.01,0.0082637
0.011,0.0079164
0.012,0.0075422
0.013,0.0071424
0.014,0.0067185
0.015,0.0062723
0.016,0.0058052
0.017,0.0053192
0.018,0.0048159
0.019,0.0042972
0.02,0.003765
0.021,0.0032213
0.022,0.0026679
0.023,0.002107
0.024,0.0015404
0.025,0.00097022
0.026,0.00039849
0.027,-0.00017279
0.028,-0.0007416
0.029,-0.0013059
0.03,-0.0018639
0.031,-0.0024134
0.032,-0.0029527
0.033,-0.0034798
0.034,-0.003993
0.035,-0.0044905
0.036,-0.0049705
0.037,-0.0054316
0.038,-0.0058721
0.039,-0.0062905
0.04,-0.0066855
0.041,-0.0070557
0.042,-0.0074
0.043,-0.0077172
0.044,-0.0080063
0.045,-0.0082664
0.046,-0.0084967
0.047,-0.0086965
0.048,-0.0088651
0.049,-0.0090022
0.05,-0.0091073
0.051,-0.0091802
0.052,-0.0092207
0.053,-0.0092288
0.054,-0.0092047
0.055,-0.0091484
0.056,-0.0090604
0.057,-0.008941
0.058,-0.0087908
0.059,-0.0086103
0.06,-0.0084005
0.061,-0.008162
0.062,-0.0078959
0.063,-0.0076031
0.064,-0.0072848
0.065,-0.0069422
0.066,-0.0065766
0.067,-0.0061893
0.068,-0.0057819
0.069,-0.0053557
0.07,-0.0049124
0.071,-0.0044535
0.072,-0.0039807
0.073,-0.0034958
0.074,-0.0030005
0.075,-0.0024966
0.076,-0.0019858
0.077,-0.0014699
0.078,-0.0009509
0.079,-0.00043049
0.08,8.9455e-05
0.081,0.00060712
0.082,0.0011207
0.083,0.0016284
0.084,0.0021285
0.085,0.0026192
0.086,0.0030989
0.087,0.0035659
0.088,0.0040186
0.089,0.0044555
0.09,0.0048751
0.091,0.0052761
0.092,0.005657
0.093,0.0060166
0.094,0.0063537
0.095,0.0066673
0.096,0.0069563
0.097,0.0072198
0.098,0.0074569
0.099,0.007667
0.1,0.0078493
0.101,0.0080034
0.102,0.0081288
0.103,0.0082252
0.104,0.0082924
0.105,0.0083301
0.106,0.0083385
0.107,0.0083175
0.108,0.0082674
0.109,0.0081885
0.11,0.008081
0.111,0.0079456
0.112,0.0077827
0.113,0.0075932
0.114,0.0073776
0.115,0.0071369
0.116,0.006872
0.117,0.0065839
0.118,0.0062737
0.119,0.0059427
0.12,0.0055919
0.121,0.0052228
0.122,0.0048367
0.123,0.004435
0.124,0.0040192
0.125,0.0035908
0.126,0.0031513
0.127,0.0027023
0.128,0.0022455
0.129,0.0017824
0.13,0.0013147
0.131,0.00084412
0.132,0.00037225
0.133,-9.9231e-05
0.134,-0.00056867
0.135,-0.0010344
0.136,-0.0014949
0.137,-0.0019484
0.138,-0.0023935
0.139,-0.0028286
0.14,-0.0032522
0.141,-0.0036629
0.142,-0.0040593
0.143,-0.0044399
0.144,-0.0048037
0.145,-0.0051493
0.146,-0.0054756
0.147,-0.0057815
0.148,-0.006066
0.149,-0.0063283
0.15,-0.0065674
0.151,-0.0067826
0.152,-0.0069733
0.153,-0.0071389
0.154,-0.0072788
0.155,-0.0073927
0.156,-0.0074802
0.157,-0.0075413
0.158,-0.0075757
0.159,-0.0075834
0.16,-0.0075645
0.161,-0.0075191
0.162,-0.0074476
0.163,-0.0073502
0.164,-0.0072274
0.165,-0.0070798
0.166,-0.0069079
0.167,-0.0067123
0.168,-0.006494
0.169,-0.0062537
0.17,-0.0059924
0.171,-0.0057111
0.172,-0.0054107
0.173,-0.0050925
0.174,-0.0047576
0.175,-0.0044073
0.176,-0.0040428
0.177,-0.0036655
0.178,-0.0032768
0.179,-0.0028779
0.18,-0.0024705
0.181,-0.0020559
0.182,-0.0016356
0.183,-0.0012112
0.184,-0.00078408
0.185,-0.00035579
0.186,7.2165e-05
0.187,0.00049828
0.188,0.00092107
0.189,0.0013391
0.19,0.0017508
0.191,0.0021549
0.192,0.0025499
0.193,0.0029345
0.194,0.0033074
0.195,0.0036673
0.196,0.004013
0.197,0.0043434
0.198,0.0046573
0.199,0.0049537
0.2,0.0052316
0.201,0.0054901
0.202,0.0057284
0.203,0.0059457
0.204,0.0061413
0.205,0.0063147
0.206,0.0064653
0.207,0.0065926
0.208,0.0066963
0.209,0.0067762
0.21,0.0068319
0.211,0.0068635
0.212,0.0068708
0.213,0.006854
0.214,0.0068133
0.215,0.0067487
0.216,0.0066607
0.217,0.0065496
0.218,0.006416
0.219,0.0062603
0.22,0.0060832
0.221,0.0058854
0.222,0.0056677
0.223,0.0054309
0.224,0.0051759
0.225,0.0049036
0.226,0.0046151
0.227,0.0043115
0.228,0.0039938
0.229,0.0036633
0.23,0.0033212
0.231,0.0029686
0.232,0.0026069
0.233,0.0022373
0.234,0.0018612
0.235,0.00148
0.236,0.001095
0.237,0.0007075
0.238,0.00031894
0.239,-6.9328e-05
0.24,-0.00045594
0.241,-0.00083956
0.242,-0.0012188
0.243,-0.0015925
0.244,-0.0019591
0.245,-0.0023176
0.246,-0.0026667
0.247,-0.0030051
0.248,-0.0033318
0.249,-0.0036456
0.25,-0.0039454
0.251,-0.0042304
0.252,-0.0044995
0.253,-0.0047518
0.254,-0.0049865
0.255,-0.0052029
0.256,-0.0054003
0.257,-0.005578
0.258,-0.0057355
0.259,-0.0058723
0.26,-0.005988
0.261,-0.0060823
0.262,-0.006155
