NoOfCores	runtime_per_iter	Speedup
8	7.669602472807018	1
16	5.0783631758	1.5102508834647923
32	3.2675789618453868	2.347181984693511
64	2.6059586624203823	2.943102123378882
128	2.7181267526086956	2.8216500446295196
256	2.0809653515350877	3.685598353259126
