NoOfCores	TotalRuntime	MatrixAssembly_time	AggregationBaseInit_time	DataIO_time	CGProjection_time	SayeCompile_time	StandardCompile_time	AMR_time	LoadBal_time	SolverInit_time	SolverRun_time
8	7526.299970833334	312.86354520000003	1.5490466666666667	5.188693999999999	0	10.766395466666665	0.022112733333333332	0.0019030000000000002	7.752874366666667	110.45312633333333	7028.888972233333
16	6453.114036450001	174.11851035	0.5686673	5.15775305	0	6.5777203	0.022119849999999996	0.0020323	5.212956650000001	75.01287769999999	6157.1829195499995
32	4123.2136519	93.81266585	0.2954056	5.355442099999999	0	3.8323902	0.02495575	0.00213835	3.8322998	40.232013949999995	3952.6404063
64	3080.3917462	54.068145	0.17330849999999998	5.568047099999999	0	2.7520869	0.04320280000000001	0.00394875	3.0077822000000003	29.96435555	2965.2828711
128	2356.9788119333334	34.09827923333333	0.08526406666666665	5.971684	0	1.7079047	0.04295946666666667	0.006782933333333334	2.0886926333333338	18.961650933333335	2279.8943097666665
256	2936.544832333333	19.927782666666666	0.05539423333333333	6.331692666666666	0	1.633166	0.08557673333333332	0.005267766666666666	1.9211504333333334	10.630165566666667	2882.772530966666
