x/t,1E-06,0.0303040101010101,0.0606070202020202,0.0909100303030303,0.12121304040404039,0.1515160505050505,0.1818190606060606,0.21212207070707068,0.24242508080808078,0.27272809090909084,0.30303110101010095,0.33333411111111105,0.36363712121212116,0.39394013131313127,0.4242431414141413,0.45454615151515143,0.48484916161616154,0.5151521717171716,0.5454551818181818,0.5757581919191919,0.606061202020202,0.6363642121212121,0.6666672222222222,0.6969702323232323,0.7272732424242424,0.7575762525252525,0.7878792626262626,0.8181822727272726,0.8484852828282827,0.8787882929292928,0.9090913030303029,0.939394313131313,0.9696973232323232,1.0000003333333332,1.0303033434343432,1.0606063535353534,1.0909093636363634,1.1212123737373736,1.1515153838383836,1.1818183939393938,1.2121214040404038,1.242424414141414,1.272727424242424,1.303030434343434,1.3333334444444442,1.3636364545454542,1.3939394646464645,1.4242424747474745,1.4545454848484847,1.4848484949494947,1.5151515050505049,1.5454545151515149,1.575757525252525,1.606060535353535,1.636363545454545,1.6666665555555553,1.6969695656565653,1.7272725757575755,1.7575755858585855,1.7878785959595958,1.8181816060606057,1.848484616161616,1.878787626262626,1.9090906363636362,1.9393936464646462,1.9696966565656562,1.9999996666666664,2.030302676767677,2.0606056868686866,2.090908696969697,2.121211707070707,2.1515147171717173,2.181817727272727,2.2121207373737373,2.2424237474747475,2.2727267575757573,2.3030297676767675,2.3333327777777777,2.363635787878788,2.3939387979797977,2.424241808080808,2.454544818181818,2.4848478282828284,2.515150838383838,2.5454538484848483,2.5757568585858586,2.6060598686868683,2.6363628787878786,2.666665888888889,2.696968898989899,2.7272719090909088,2.757574919191919,2.787877929292929,2.8181809393939394,2.848483949494949,2.8787869595959594,2.9090899696969696,2.9393929797979794,2.9696959898989896,2.999999
0,1.1117041413274744E-07,1.589799596219541E-06,3.3618346212719444E-06,4.647531025099121E-06,5.7870620010334304E-06,6.635331193728828E-06,7.0734000117840205E-06,7.108784112383357E-06,6.748190323837119E-06,6.0090078838175345E-06,4.928495414817752E-06,3.570946831954869E-06,2.012064092410716E-06,3.3886279312145984E-07,-1.3519857481061026E-06,-2.9672328807504386E-06,-4.415375440231896E-06,-5.614585708378064E-06,-6.4955452759062904E-06,-7.013731358806737E-06,-7.134210039149001E-06,-6.852769837184624E-06,-6.185584944954915E-06,-5.166507083788041E-06,-3.861491812576766E-06,-2.335811897333152E-06,-6.784426075513802E-07,1.436566336665728E-07,-2.893861403367055E-07,-5.9471032130541674E-08,3.380785034551698E-08,7.731917649628449E-09,-5.3937064685027185E-09,1.148117704715682E-09,9.675328404576324E-10,-2.589618312361465E-10,-3.0600031855216305E-11,5.066728504498645E-11,-7.762110411258537E-12,-7.1994746404766176E-12,1.6346862067658723E-12,8.969396619856056E-14,-3.854442186442738E-13,2.0012031109273693E-13,-7.516065210443205E-14,-1.121785691574304E-13,3.9755889965869675E-14,-1.0507497134482097E-13,-3.4449681305973904E-07,3.1360170545394157E-07,-4.884502756544541E-08,7.855797181966499E-07,1.3314970122792288E-07,2.1842485091867585E-07,3.734479358028281E-07,3.596244588406057E-07,3.874424450942081E-07,2.7262792610874243E-07,1.7071855336635276E-07,1.5576872777465812E-07,7.72839091016951E-08,5.4568639307208386E-08,1.9130686506403607E-08,2.5770565955718292E-08,-1.0899204367704258E-08,-5.773758707500932E-09,2.6881177131421107E-08,-7.3219745151009574E-09,-3.0857124083637684E-08,3.313350264689544E-08,1.3799334845301933E-08,-6.342073589114174E-08,1.869442896479686E-08,4.342814504538081E-08,-5.655905598665169E-08,-1.0057534781203969E-08,5.778170654960397E-08,-2.2845363046227796E-08,-2.8468976196455234E-08,4.3926392231773895E-08,2.414541032208841E-09,-2.717594312967114E-08,1.354305363955111E-08,9.923342349735828E-09,-1.8442096312491906E-08,4.597907605972506E-10,7.239233430380753E-09,-4.412146787343705E-09,-1.9179424137867984E-09,4.342044068735681E-09,-3.220858502818187E-10,-1.075723638724752E-09,7.828447157502312E-10,1.5426451727304605E-10,-4.343343490205504E-10,3.531637372920725E-11,-2.3417016726349965E-10,2.1641179252098446E-10,1.8775685970050093E-10,-7.203145773286064E-10
0.01,-9.885007118183658E-08,2.9894632145152363E-07,1.6089430473658186E-06,3.311299740758283E-06,4.7195764989330125E-06,5.825527844380766E-06,6.636838462223552E-06,7.074783851713235E-06,7.1085632937062355E-06,6.74144156615126E-06,5.996704759153878E-06,4.911811494657942E-06,3.5509034146725535E-06,1.989998339016319E-06,3.1632364546350077E-07,-1.3750313264295513E-06,-2.988563474798153E-06,-4.433668958934976E-06,-5.629769978399609E-06,-6.506537166707092E-06,-7.0185163257262635E-06,-7.133444932748707E-06,-6.84644307871389E-06,-6.175007190278535E-06,-5.152797904717312E-06,-3.8419991841153915E-06,-2.3139213491621296E-06,-6.958542116245432E-07,1.3808825947875318E-07,5.319030541409553E-08,-3.336879995151677E-08,-1.0263362614894037E-09,5.837361855768496E-09,-1.3684146384799361E-09,-6.88612223571466E-10,3.1332501097186577E-10,4.87034637467117E-12,-4.954539097005816E-11,1.0557757666886973E-11,5.246385529826586E-12,-2.0956968955781185E-12,-5.1837590650930155E-14,2.117553794776708E-13,-5.326777614233151E-14,5.675303730144718E-14,-7.30722690669709E-14,-4.941906333278617E-14,1.924877348169846E-14,1.1189755650992582E-07,1.467294735476842E-07,2.1799445939602608E-07,-1.3154347395054161E-07,1.4532660779896213E-07,-6.53095544485812E-08,1.507293959924843E-07,1.1189376109627681E-07,1.462908020493647E-07,1.0220572831163923E-07,1.0194964610357628E-07,4.4499489264416476E-08,4.7926457782625685E-08,1.7065152092559274E-08,6.640325111920688E-09,1.1960102942337086E-08,2.3618162325041433E-09,-5.385381001876753E-09,1.4557853692660373E-09,7.735016716736593E-09,-1.2090948291147069E-08,-3.3379730285350506E-09,1.684928565618844E-08,-9.68375920074008E-09,-1.2892417482422958E-08,2.1732844532119925E-08,2.3424384169410576E-09,-2.02784416417661E-08,1.5479886657692384E-08,1.0117543047667173E-08,-1.871347437762872E-08,5.697589242902447E-10,1.1868133744968837E-08,-1.0661281503852624E-08,-3.742045688592131E-09,8.156190251660028E-09,-1.007968061589025E-09,-3.727818798688936E-09,3.6277769349143497E-09,7.177680748126867E-10,-2.0248640755548935E-09,4.191988462017245E-10,6.732470450861992E-10,-7.199131133293758E-10,-3.721250791557882E-11,2.484011620882447E-10,-7.177978336136854E-11,5.979999405261181E-12,-2.488886490567236E-11,-4.824243782797304E-11,1.6163399771384804E-10,-3.457840903895424E-11
0.02,9.498458016006565E-08,-6.504793235542484E-08,2.919392915382877E-07,1.6083622430769922E-06,3.334135162253795E-06,4.727467039697936E-06,5.838294276869889E-06,6.649065080285406E-06,7.076852782891368E-06,7.1064368986105135E-06,6.734374264356996E-06,5.982903690553986E-06,4.895342595311767E-06,3.5296639715616757E-06,1.966915616351909E-06,2.9226678669287517E-07,-1.3980898400654856E-06,-3.0111525186292485E-06,-4.4515869728012504E-06,-5.644224010001178E-06,-6.517773771956413E-06,-7.021773649517135E-06,-7.133540456452267E-06,-6.838531889595498E-06,-6.162256162981844E-06,-5.137147944906951E-06,-3.821341769717026E-06,-2.216723892188207E-06,-7.316409385191951E-07,6.556409591645217E-08,1.794834893428856E-08,-3.202823585791574E-08,2.8919746971024977E-09,4.093188696420902E-09,-1.3017520745631647E-09,-2.452316996306798E-10,3.0885501700046986E-10,-1.7265357414578183E-11,-3.096682695423223E-11,9.689398993392151E-12,1.91155397449432E-12,-1.9635123596550885E-12,1.3051000354154989E-14,8.685852637653071E-14,-2.544042041688872E-14,-1.9414769314115763E-14,-8.040934381513878E-14,1.3501519850074054E-13,4.8537257892567545E-08,1.3360843189439703E-07,2.8757652519847573E-07,-1.457113197848503E-08,1.710902014002938E-07,3.2847213419860674E-08,2.0284140383858722E-07,2.2427558044433924E-07,2.55605287301993E-07,2.030730863167004E-07,1.637468144608195E-07,1.0509492204458269E-07,8.497180948664537E-08,3.174408871982497E-08,2.0850693893448285E-08,1.5246712616257608E-08,5.23485800343971E-09,-5.587974435271558E-09,3.274255086339662E-09,8.671693491012305E-09,-1.4409269558732381E-08,-1.8584312943635416E-09,2.0152037435403323E-08,-9.247800883344013E-09,-1.5252757284967833E-08,2.5379258037486784E-08,-1.6413212246803327E-10,-2.5179144858672973E-08,1.4813024491381259E-08,1.2907672736627257E-08,-2.179564237552537E-08,2.2338293578226596E-09,1.5387423278195914E-08,-1.0224922220771037E-08,-5.5267690290860746E-09,9.733680314172102E-09,-1.8023151376999864E-09,-5.173614370075826E-09,3.660813266008636E-09,1.2598977762325854E-09,-2.4960705857268408E-09,6.450684394695148E-10,1.0000102542535797E-09,-7.329310225279837E-10,-1.5096269294928272E-10,3.2664531730151644E-10,-9.728258398852118E-11,-3.683903800683128E-11,-3.8137371829242404E-11,-2.4232282056251832E-11,1.8911138088213526E-10,-1.1216682167918292E-10
0.03,2.5669500614767666E-08,-2.0543945087691155E-08,-5.7402737766220035E-08,3.406744015976409E-07,1.627033042794202E-06,3.3347867312384445E-06,4.7860497916863265E-06,5.856722237825947E-06,6.639727941799368E-06,7.08239691062103E-06,7.104332046290444E-06,6.725804785583604E-06,5.969518259762342E-06,4.879232418507562E-06,3.509516345514617E-06,1.944117470638272E-06,2.687490569521323E-07,-1.421377542204852E-06,-3.032522444356785E-06,-4.471309718920279E-06,-5.65763961616609E-06,-6.5278063017109845E-06,-7.026306282167339E-06,-7.13298668672489E-06,-6.8333680664512836E-06,-6.149507729580532E-06,-5.121155240189921E-06,-3.807362461377574E-06,-2.2218896603023523E-06,-7.023731370692916E-07,6.589356494465987E-08,8.935616506264378E-08,-3.923794930270319E-08,-1.024885462469647E-08,1.690446358263375E-08,1.603456648277902E-09,-6.096912434518584E-09,4.3019166660821966E-10,4.902127412955265E-10,-3.45995486973532E-10,-6.32121493438561E-11,1.193967675271025E-10,-3.632993751708334E-12,-8.379562497055325E-12,4.779586644301174E-12,1.0203354100864803E-12,-1.5208971197135286E-12,5.4835529657909705E-14,-3.132446846785664E-08,-5.678816893550258E-09,1.617458989094685E-08,4.32990715265223E-08,1.1740547337065933E-07,-6.092976920701518E-08,-4.411454904054687E-09,1.2458584215482006E-07,9.607231600583194E-08,1.2348840960701716E-07,1.0778167940129584E-07,7.413738125690368E-08,5.819620926607737E-08,2.7093891589117512E-08,1.627436586023333E-08,6.91881464897456E-09,1.2956914019387304E-08,-5.806900282213196E-09,-1.2973100176117025E-09,1.1241395527683647E-08,-6.002202600389311E-09,-1.1946722871915758E-08,1.6175543624402436E-08,4.231676993410705E-09,-2.3114280632150023E-08,1.2594170129379256E-08,1.779406108312588E-08,-2.386158704830985E-08,-1.17468537586874E-09,2.336765202106775E-08,-1.3579044599872394E-08,-1.2053937952247116E-08,1.6862456199300565E-08,-1.5109324125717306E-09,-1.1948086863335014E-08,7.235054955092005E-09,4.148009393217211E-09,-6.431059020268359E-09,1.1333484298678836E-09,3.407000347406506E-09,-2.1588415289873427E-09,-7.684122504337107E-10,1.4205892784104042E-09,-3.436023163129194E-10,-5.444755252958298E-10,3.464216168444117E-10,5.2321700497523275E-11,-9.54922550010749E-11,1.5285060882263928E-11,-7.479086782618834E-11,1.2162032282265E-10,4.141611863433847E-11
0.04,-8.940437045809355E-09,6.056005627643171E-09,-1.827961922055915E-08,-6.282030390365873E-08,3.850128851388898E-07,1.683603855557628E-06,3.3040417387266666E-06,4.794080571967451E-06,5.881673769118493E-06,6.651140271966505E-06,7.08726435542189E-06,7.1029075568721035E-06,6.717680371771015E-06,5.955767117758608E-06,4.859992227714862E-06,3.4892703105351824E-06,1.9207361473692924E-06,2.4514229070349186E-07,-1.4448563443595553E-06,-3.0528920152649726E-06,-4.490595464395878E-06,-5.671903440995047E-06,-6.536291659667699E-06,-7.030314426520316E-06,-7.1287388675270736E-06,-6.82715453247545E-06,-6.136795986408566E-06,-5.1169555541110585E-06,-3.775397963727043E-06,-2.1727518203283353E-06,-6.53587655815265E-07,1.9827395582733498E-08,8.755462588663611E-08,-3.693238041206354E-08,-3.0739146324162085E-08,1.4398576589350307E-08,5.7546256945543E-09,-4.310058276979603E-09,5.67254397116311E-10,9.794970787858107E-10,-2.770342728516476E-10,-1.3485406738498602E-10,7.656910031652517E-11,-6.658322890623353E-12,-1.4923432075456458E-11,3.5636565894827328E-12,1.7093968486234595E-12,-9.920405752347644E-13,-7.127557894868785E-08,1.5124654341301897E-07,-2.9411524982143075E-07,1.2195917403996705E-07,1.0637526993382675E-07,1.727469277480803E-07,4.994058092969689E-08,2.4387407620358706E-07,2.2487610170348456E-07,2.2926273994069572E-07,1.614656376041325E-07,1.4182261578820044E-07,8.466369708575668E-08,6.59664599685922E-08,2.2945131901105228E-08,1.4607953003319802E-08,1.3677315399248368E-08,-5.325020942540797E-09,-9.081394888760529E-10,8.875523215475628E-09,-6.810736627347531E-09,-1.1728619244136858E-08,1.4307939283267223E-08,1.3341957590624246E-09,-2.1484952711885378E-08,1.1111983643011504E-08,1.9037834286890034E-08,-2.1440644952646156E-08,-3.798114151706931E-09,2.2979655371278374E-08,-1.0289303689942056E-08,-1.5237624149996177E-08,1.5379838111637127E-08,2.475861608519152E-09,-1.2758081459325905E-08,5.2888260849746135E-09,6.320216479403925E-09,-6.137293773308618E-09,-5.685542127932275E-10,3.9216165436789485E-09,-1.6211501342288251E-09,-1.495249289081436E-09,1.4143818067318018E-09,5.902813893106929E-11,-7.081424118014627E-10,2.6310829778356625E-10,1.8985070857189212E-10,-1.2563635592890203E-10,-5.555307995183952E-11,-3.976736506804335E-11,1.1399237602597739E-10,4.8122770706642723E-11
0.05,-7.604535658086304E-09,7.558780098897067E-09,3.183391905451324E-09,-9.820970971117058E-09,-7.492500597928409E-08,3.6119550461741145E-07,1.69756406242365E-06,3.3571442198785434E-06,4.8196786075672146E-06,5.896147598740227E-06,6.645858469684584E-06,7.084515464651964E-06,7.107468413329649E-06,6.703606005452353E-06,5.9406768186817956E-06,4.842833296033077E-06,3.468273448512555E-06,1.8971906005893223E-06,2.2046715370264619E-07,-1.4686017522889193E-06,-3.0743783244848564E-06,-4.508847821315208E-06,-5.686999105325896E-06,-6.545084799139959E-06,-7.0355983536004704E-06,-7.126741663028033E-06,-6.819202525307912E-06,-6.126434200661537E-06,-5.0962030366379395E-06,-3.767017442855186E-06,-2.1709477067334953E-06,-6.080951953067991E-07,5.373892016392829E-08,6.641192022213652E-08,-4.7039869677266095E-08,-3.2738148700612694E-08,3.387858459044431E-08,1.663251426132862E-08,-1.1017174084914882E-08,-3.3754119638408805E-09,4.045123630886267E-09,-1.3332572932195101E-09,-1.166424723837691E-09,4.233170569531937E-10,1.9639520585383132E-10,-1.310723391070721E-10,4.127022325378E-11,3.212990805819954E-11,3.578073598662399E-08,1.8821547556063702E-07,1.2475467060182759E-08,4.2776772280820545E-08,2.0836324332814633E-08,4.1551485153227197E-07,6.703419931093284E-08,2.801368758042927E-07,3.043647860072674E-07,2.9367775435273816E-07,2.047225102441416E-07,1.8488009952733647E-07,1.0792864879113869E-07,9.180636964169632E-08,2.7430263902401975E-08,2.93282784255349E-08,2.6961963450397254E-09,2.4653807051150556E-09,7.568714279156691E-09,-1.3650510245970568E-09,-2.5265292020761383E-09,-1.5277200986718906E-09,3.0006621528485393E-09,-6.286978276865299E-09,-6.66991440600634E-09,1.654804983920359E-10,3.992046070281431E-09,-4.284393202712406E-09,-5.320681081560068E-09,1.0527753676564477E-08,4.449524270182868E-09,-7.766344285469655E-09,4.0587758877349355E-09,8.348819624118591E-09,-8.311740269913822E-09,-2.586052935633887E-09,4.103300277421778E-09,-2.2711142474027858E-09,-3.519231803094045E-09,3.1108997268581103E-09,7.021288153833689E-10,-1.18066057221332E-09,6.882304217141722E-10,8.623884480713375E-10,-7.375143422545945E-10,-9.239907162611003E-11,1.9209754524206157E-10,-1.3617463778760254E-10,-1.5450313751240063E-10,8.957912257852906E-11,3.9953774672165094E-11,-1.2344582052236025E-10
0.06,-2.276401900439814E-09,9.974728351921786E-10,1.2991291518742833E-09,1.3864303043149137E-08,-4.612352127283871E-08,-1.0437134900896141E-07,4.513463469135965E-07,1.7017677824917568E-06,3.354552552722445E-06,4.8188467845315545E-06,5.914937907758991E-06,6.6722778554154556E-06,7.082185899800896E-06,7.1022500823666295E-06,6.702965730602464E-06,5.929625952422522E-06,4.824770154174842E-06,3.447695811786799E-06,1.87527040011846E-06,1.9741604896806158E-07,-1.4913069786906092E-06,-3.0962828391368246E-06,-4.526054203548942E-06,-5.7024040676628984E-06,-6.554599099922494E-06,-7.0394640985729705E-06,-7.126522752462608E-06,-6.809618735506412E-06,-6.117834381111847E-06,-5.081928037931018E-06,-3.752050754121144E-06,-2.1056914515980667E-06,-6.869079985480399E-07,4.2578328701600796E-08,1.0424500766465234E-07,-2.3121239035170084E-08,-3.617676313518881E-08,1.3892829419448224E-09,1.051243408594916E-08,-1.1220302695666534E-09,-3.460494500236457E-09,1.7289264959449444E-09,8.20397564890883E-10,-5.385093584635171E-10,-7.410602939948552E-11,1.426294692928059E-10,-4.539528718082538E-11,-2.7483076413825433E-11,1.3280433270064074E-07,1.171770290893109E-08,2.6268157683802297E-07,-1.3881305478098034E-07,-5.61793630256391E-08,1.3365508678646645E-07,1.82631697750146E-08,4.224782655094706E-08,1.4942471518466343E-07,1.5233630179563732E-07,1.6521428176079906E-07,1.1003213493789879E-07,8.806848330097407E-08,6.846007585143825E-08,3.49703908275671E-08,1.50815292109531E-08,1.2308456065432676E-08,1.4612437024684632E-08,-1.4242609469880091E-08,1.6483247859020395E-09,2.3988180035416953E-08,-1.8913210015520055E-08,-1.5375027899203386E-08,3.997039196209913E-08,-6.081397743300284E-09,-3.889651633394058E-08,3.2853913221110374E-08,1.826146366726822E-08,-4.49882585751415E-08,9.498388985965547E-09,3.2304981256187955E-08,-2.871506721593521E-08,-1.0270748252409471E-08,2.60964625860227E-08,-7.071185221538036E-09,-1.4276998552559187E-08,1.3375501752714392E-08,3.007573688253897E-09,-8.691152581298774E-09,2.7912805256733983E-09,3.6395229713982504E-09,-3.5732206028298498E-09,-4.5389670520764426E-10,1.6831565626058592E-09,-6.184081042969747E-10,-5.018403261558564E-10,4.78162764551807E-10,2.9827147304416724E-11,2.8713325395136482E-11,-7.713792602286846E-11,-1.3992435519695492E-10,3.6346020840693085E-10
0.07,4.313062299011558E-09,-2.052367722107128E-09,-3.276668797859474E-09,7.089476248636543E-09,4.9577776982356205E-08,-4.37281758951155E-08,-7.317842867169797E-08,4.438541565651962E-07,1.724968270808785E-06,3.3917702688390653E-06,4.834769551908562E-06,5.9319858797454485E-06,6.681765766834478E-06,7.082128499514482E-06,7.0981040377518595E-06,6.694763896715996E-06,5.915297857065157E-06,4.808295290334483E-06,3.426287135834313E-06,1.8522651817307875E-06,1.7317267791092176E-07,-1.5144001252921787E-06,-3.118468141692854E-06,-4.54396068110902E-06,-5.716160753766562E-06,-6.565750576757321E-06,-7.042473434894727E-06,-7.123595213857916E-06,-6.803492691096551E-06,-6.100378352145574E-06,-5.095512571219063E-06,-3.696894203521588E-06,-2.041177891423315E-06,-6.67521424385325E-07,4.347412528463965E-08,7.07844847330153E-08,-9.328218871178782E-09,-2.6740684577208782E-08,4.279986041573036E-09,1.2055636406160425E-08,-2.4994299653228545E-09,-4.111998865108392E-09,1.49716376898817E-09,4.552470190094551E-10,-5.754728936267963E-10,2.5909897586868472E-11,1.5468967058086695E-10,-3.7436267005205653E-11,2.7649472655494846E-08,5.1671058272650084E-08,2.7301972781575023E-07,-7.665976330579864E-08,1.864897991624178E-08,9.331380244685457E-08,1.4336314751590698E-07,1.0967126036654418E-07,2.2389043241373484E-07,2.074005709555301E-07,2.061061665848697E-07,1.696649449146131E-07,1.1787947874542064E-07,7.377510568551533E-08,6.068256342980643E-08,2.2429558259272015E-08,7.343673113651944E-09,2.0074729001234424E-08,-2.7967316489543348E-09,-8.19688471320157E-09,1.3453615611636827E-08,5.619344306090317E-09,-2.215388527851047E-08,2.6649469333319494E-09,2.031366902639197E-08,-3.039822637827964E-08,-6.1811526554516884E-09,3.431488759804189E-08,-1.6917240760944825E-08,-1.9305325255368195E-08,3.268333037418347E-08,-2.904571405255446E-10,-2.4271028299922153E-08,1.611351083988262E-08,8.890811072444161E-09,-1.7126116713559052E-08,2.0907901617573616E-09,9.24842244507602E-09,-7.027300153406706E-09,-2.1890622707253124E-09,5.052506642825688E-09,-1.144344928254307E-09,-1.9992353719741257E-09,1.684937523427752E-09,2.46191377437835E-10,-8.180991212009572E-10,2.627877633337384E-10,1.8282464241019085E-10,-1.374430829228636E-10,6.288594657071868E-11,-1.3538698715664762E-10,-5.204325758912094E-11
0.08,1.024580052737167E-09,-7.497266693186698E-10,5.058960318214997E-10,-2.931247566972913E-09,1.1965438675316278E-08,4.959743408561133E-08,-7.37350020200344E-08,-5.822686928796756E-08,4.5691494097422125E-07,1.7461726170542086E-06,3.396642526030736E-06,4.867532779252934E-06,5.94846210265483E-06,6.686521286256127E-06,7.0859312909478925E-06,7.093320891361222E-06,6.689945732021176E-06,5.902218492700274E-06,4.789814795559974E-06,3.4061936317249247E-06,1.8294878203527434E-06,1.4963249583796082E-07,-1.5377264829088874E-06,-3.139623162330421E-06,-4.563454689324793E-06,-5.729508114557088E-06,-6.5752300262260956E-06,-7.046863756341423E-06,-7.1238934944742495E-06,-6.795411313001275E-06,-6.0785010734380646E-06,-5.072748233167124E-06,-3.67552876858566E-06,-2.046543194290414E-06,-6.600967914182487E-07,4.7282155617061854E-08,1.1311286643650769E-07,-1.507238565747783E-08,-3.569585871832108E-08,2.2437796932967916E-09,1.2731619258614409E-08,8.905455783482714E-10,-4.420271645225138E-09,5.904165712926959E-10,1.84649333975569E-09,-3.095357812869543E-10,-7.484492792689887E-10,1.9347990016053868E-10,-8.89726822199669E-09,1.0276685328044174E-07,1.488593451628927E-07,3.375160610279667E-08,-1.5104954283881607E-08,-1.377531667996238E-07,9.034564729600233E-08,-8.186994952288858E-08,9.088497775551562E-08,1.1681829516889125E-07,1.5234598079129396E-07,1.4125301580699786E-07,1.1079662199448404E-07,6.648197082502859E-08,6.645967519695078E-08,2.084544466732546E-08,1.5501208129618995E-08,1.2886252789423712E-08,5.250252920866975E-09,-9.557426520659024E-09,2.6956018809651355E-09,1.810705774180778E-08,-1.9082496568984388E-08,-4.014072336727774E-09,3.096643713836029E-08,-1.6669628972992633E-08,-2.6061734515288434E-08,3.289302285015089E-08,-3.1881711550132953E-09,-3.501895860429252E-08,2.1326464323315207E-08,1.9341305425241498E-08,-2.7253227860002324E-08,5.7654727556313265E-09,2.0375513623741305E-08,-1.3544654844512757E-08,-6.889271646994986E-09,1.1878059642521841E-08,-3.5183229702906213E-09,-6.314226359561617E-09,4.522067309839236E-09,1.2428059293607724E-09,-2.9289943351137086E-09,9.874969249190066E-10,1.1627181420546284E-09,-8.864361598439028E-10,-6.434395399407421E-11,3.5547996256126563E-10,-1.596028164420068E-10,5.4433862950725723E-11,-6.906595113649278E-11,-1.0285349838226742E-10
