X,T
0.002902757619738766, 1.5984025144314338
0.06386066763425258, 1.3902224736998148
0.0899854862119013, 1.3005447030486708
0.12772133526850513, 1.1804449473996292
0.1654571843251089, 1.0571409193874368
0.17997097242380264, 1.0091000870052182
0.22351233671988394, 0.8938160411269211
0.27576197387518153, 0.7897609003586786
0.3875181422351234, 0.6665754629782138
0.5021770682148041, 0.6170929405632282
0.6894049346879536, 0.5629202749287392
0.7997097242380261, 0.5230435936836926
0.9027576197387518, 0.4687360602719446
0.34397677793904213, 0.7017526997777395
0.3033381712626996, 0.7449452680981513
0.44121915820029034, 0.6378230480505211
0.6023222060957911, 0.5900170716252535
0.9637155297532657, 0.4287803186057464
0.9970972423802612, 0.4031996217501421
