X1,U2
-0.0007408304568118085, 0.000544217687074855
0.0110619915622035, 0.03646258503401362
0.021393245725589927, 0.06585034013605445
0.028771271119723857, 0.08761904761904765
0.04205575405236278, 0.12462585034013607
0.056823916510224226, 0.16163265306122448
0.06495387472496411, 0.1779591836734694
0.07900240214780274, 0.2029931972789116
0.09971941298774706, 0.2323809523809524
0.1278608772886009, 0.2585034013605443
0.15899997981388397, 0.26829931972789123
0.1990734572760855, 0.2606802721088436
0.22877732695452063, 0.2443537414965987
0.25848927107935155, 0.22367346938775515
0.309019156624074, 0.1779591836734694
0.28523991198853427, 0.1997278911564626
0.3476553826278286, 0.1453061224489796
0.38331819374634124, 0.11591836734693883
0.4427400633844041, 0.07564625850340134
0.494719312057167, 0.04843537414965993
0.5259008054260279, 0.03537414965986396
0.577871979652395, 0.012517006802721109
0.6276206625083267, -0.011972789115646199
0.6654918347160822, -0.032108843537414944
0.7011445527766001, -0.05605442176870751
0.7323462322614507, -0.07999999999999996
0.7739659662084419, -0.12136054421768716
0.7932921536567149, -0.14204081632653054
0.8215466602071094, -0.1768707482993198
0.8408809221017784, -0.20190476190476192
0.8795474272795171, -0.25088435374149665
0.9270877490462058, -0.2846258503401361
0.9522759845778076, -0.2661224489795918
0.9611376894971636, -0.2443537414965986
0.9670380912008721, -0.22585034013605443
0.9788086154343044, -0.17251700680272108
0.9832051514968004, -0.14312925170068025
0.9890389390177435, -0.0887074829931973
0.9919558327782153, -0.061496598639455724
0.9963382385595184, -0.024489795918367363
0.9992611881547871, -0.000544217687074855
