T, Y
1.3150214592274678, 0.9986893840104849
1.3115879828326178, 0.9318479685452162
1.2927038626609444, 0.8466579292267365
1.217167381974249, 0.7260812581913499
1.1570815450643779, 0.6605504587155964
1.103862660944206, 0.6107470511140236
1.0351931330472102, 0.5491480996068152
0.9476394849785408, 0.4705111402359109
0.8412017167381974, 0.3709043250327655
0.7450643776824034, 0.27129750982962
0.6660944206008583, 0.17300131061598956
0.623175965665236, 0.07601572739187434
0.6180257510729614, 0.001310615989515318
