"x","y"
-5,0.0057622
-4.9706,0.0059596
-4.9412,0.0055743
-4.9118,0.0051097
-4.8824,0.0050643
-4.8529,0.0044507
-4.8235,0.0043101
-4.7941,0.0041031
-4.7647,0.0032794
-4.7353,0.0029665
-4.7059,0.0020096
-4.6765,0.0010252
-4.6471,0.00062139
-4.6302,0
-4.6176,-0.00046644
-4.5882,-0.00083465
-4.5588,-0.001201
-4.5294,-0.0022799
-4.5,-0.0025712
-4.4706,-0.00366
-4.4412,-0.0047051
-4.4118,-0.0048548
-4.3824,-0.0058663
-4.3529,-0.0057656
-4.3235,-0.0055961
-4.2941,-0.0063905
-4.2647,-0.0059865
-4.2353,-0.006744
-4.2059,-0.0074142
-4.1765,-0.006728
-4.1471,-0.0073113
-4.1176,-0.0063171
-4.0882,-0.0052651
-4.0588,-0.0056599
-4.0294,-0.0043592
-4,-0.0048218
-3.9706,-0.0052472
-3.9412,-0.0038065
-3.9118,-0.0042849
-3.8824,-0.002685
-3.8529,-0.001109
-3.8235,-0.0016424
-3.7948,0
-3.7925,0
-3.7647,-0.00070088
-3.7353,-0.0014753
-3.7085,0
-3.7941,4.1219e-05
-3.7059,0.000142
-3.7016,0
-3.6765,-0.00084702
-3.6614,0
-3.6471,0.00080706
-3.6176,0.0024249
-3.5882,0.001299
-3.5588,0.0029465
-3.5294,0.0016449
-3.5,0.00034604
-3.4706,0.0019551
-3.4412,0.00053659
-3.4118,0.0022415
-3.3824,0.0039618
-3.3529,0.0025383
-3.3235,0.0043278
-3.2941,0.0028623
-3.2647,0.0014328
-3.2353,0.0032699
-3.2059,0.0018679
-3.1765,0.0037647
-3.1471,0.0056728
-3.1176,0.0042711
-3.0882,0.0061624
-3.0588,0.0047313
-3.0294,0.0033015
-3,0.0051287
-2.9706,0.0037459
-2.9412,0.0054949
-2.9118,0.0072266
-2.8824,0.0057717
-2.8529,0.0073265
-2.8235,0.0058836
-2.7941,0.0044291
-2.7647,0.0058819
-2.7353,0.0045715
-2.7059,0.0058785
-2.6765,0.0071897
-2.6471,0.0058698
-2.6176,0.0069595
-2.5882,0.0057473
-2.5588,0.0045363
-2.5294,0.0055871
-2.5,0.0045941
-2.4706,0.005524
-2.4412,0.0064665
-2.4118,0.005481
-2.3824,0.0062594
-2.3529,0.0053237
-2.3235,0.0043884
-2.2941,0.0051388
-2.2647,0.0043619
-2.2353,0.0050488
-2.2059,0.0057415
-2.1765,0.0049519
-2.1471,0.0055169
-2.1176,0.0047125
-2.0882,0.0039121
-2.0588,0.0044601
-2.0294,0.0037815
-2,0.0043234
-1.9706,0.0048742
-1.9412,0.0041904
-1.9118,0.0046457
-1.8824,0.0039235
-1.8529,0.0032116
-1.8235,0.0036645
-1.7941,0.0030594
-1.7647,0.0035424
-1.7353,0.0040358
-1.7059,0.0034262
-1.6765,0.0038359
-1.6471,0.0031744
-1.6176,0.0025251
-1.5882,0.0029336
-1.5588,0.0023784
-1.5294,0.0028316
-1.5,0.0032962
-1.4706,0.0027341
-1.4412,0.0031184
-1.4118,0.0025033
-1.3824,0.001903
-1.3529,0.0022867
-1.3235,0.0017751
-1.2941,0.0022064
-1.2647,0.0026512
-1.2353,0.002132
-1.2059,0.002499
-1.1765,0.0019335
-1.1471,0.0013845
-1.1176,0.0017495
-1.0882,0.0012853
-1.0588,0.0016915
-1.0294,0.0021134
-1,0.0016407
-0.97059,0.0019873
-0.94118,0.0014778
-0.91176,0.00098645
-0.88235,0.0013287
-0.85294,0.00091889
-0.82353,0.0012886
-0.79412,0.0016769
-0.76471,0.0012588
-0.73529,0.0015755
-0.70588,0.0011336
-0.67647,0.00070715
-0.64706,0.0010166
-0.61765,0.00067667
-0.58824,0.00099061
-0.55882,0.001322
-0.52941,0.00097686
-0.5,0.0012379
-0.47059,0.00089163
-0.44118,0.00054395
-0.41176,0.00079494
-0.38235,0.00055319
-0.35294,0.00078581
-0.32353,0.0010184
-0.29412,0.00077835
-0.26471,0.0009004
-0.23529,0.00070057
-0.20588,0.00052456
-0.17647,0.00064326
-0.14706,0.00057226
-0.11765,0.0006472
-0.088235,0.00072894
-0.058824,0.00066638
-0.029412,0.00067084
0,0.00067248
0.029412,0.00067084
0.058824,0.00066638
0.088235,0.00072894
0.11765,0.0006472
0.14706,0.00057226
0.17647,0.00064326
0.20588,0.00052456
0.23529,0.00070057
0.26471,0.0009004
0.29412,0.00077835
0.32353,0.0010184
0.35294,0.00078581
0.38235,0.00055319
0.41176,0.00079494
0.44118,0.00054395
0.47059,0.00089163
0.5,0.0012379
0.52941,0.00097686
0.55882,0.001322
0.58824,0.00099061
0.61765,0.00067667
0.64706,0.0010166
0.67647,0.00070715
0.70588,0.0011336
0.73529,0.0015755
0.76471,0.0012588
0.79412,0.0016769
0.82353,0.0012886
0.85294,0.00091889
0.88235,0.0013287
0.91176,0.00098645
0.94118,0.0014778
0.97059,0.0019873
1,0.0016407
1.0294,0.0021134
1.0588,0.0016915
1.0882,0.0012853
1.1176,0.0017495
1.1471,0.0013845
1.1765,0.0019335
1.2059,0.002499
1.2353,0.002132
1.2647,0.0026512
1.2941,0.0022064
1.3235,0.0017751
1.3529,0.0022867
1.3824,0.001903
1.4118,0.0025033
1.4412,0.0031184
1.4706,0.0027341
1.5,0.0032962
1.5294,0.0028316
1.5588,0.0023784
1.5882,0.0029336
1.6176,0.0025251
1.6471,0.0031744
1.6765,0.0038359
1.7059,0.0034262
1.7353,0.0040358
1.7647,0.0035424
1.7941,0.0030594
1.8235,0.0036645
1.8529,0.0032116
1.8824,0.0039235
1.9118,0.0046457
1.9412,0.0041904
1.9706,0.0048742
2,0.0043234
2.0294,0.0037815
2.0588,0.0044601
2.0882,0.0039121
2.1176,0.0047125
2.1471,0.0055169
2.1765,0.0049519
2.2059,0.0057415
2.2353,0.0050488
2.2647,0.0043619
2.2941,0.0051388
2.3235,0.0043884
2.3529,0.0053237
2.3824,0.0062594
2.4118,0.005481
2.4412,0.0064665
2.4706,0.005524
2.5,0.0045941
2.5294,0.0055871
2.5588,0.0045363
2.5882,0.0057473
2.6176,0.0069595
2.6471,0.0058698
2.6765,0.0071897
2.7059,0.0058785
2.7353,0.0045715
2.7647,0.0058819
2.7941,0.0044291
2.8235,0.0058836
2.8529,0.0073265
2.8824,0.0057717
2.9118,0.0072266
2.9412,0.0054949
2.9706,0.0037459
3,0.0051287
3.0294,0.0033015
3.0588,0.0047313
3.0882,0.0061624
3.1176,0.0042711
3.1471,0.0056728
3.1765,0.0037647
3.2059,0.0018679
3.2353,0.0032699
3.2647,0.0014328
3.2941,0.0028623
3.3235,0.0043278
3.3529,0.0025383
3.3824,0.0039618
3.4118,0.0022415
3.4412,0.00053659
3.4706,0.0019551
3.5,0.00034604
3.5294,0.0016449
3.5588,0.0029465
3.5882,0.001299
3.6614,0
3.6765,-0.00084702
3.7016,0
3.6176,0.0024249
3.6471,0.00080706
3.7059,0.000142
3.7085,0
3.7353,-0.0014753
3.7647,-0.00070088
3.7925,0
3.7948,0
3.8235,-0.0016424
3.7941,4.1219e-05
3.8529,-0.001109
3.8824,-0.002685
3.9118,-0.0042849
3.9412,-0.0038065
3.9706,-0.0052472
4,-0.0048218
4.0294,-0.0043592
4.0588,-0.0056599
4.0882,-0.0052651
4.1176,-0.0063171
4.1471,-0.0073113
4.1765,-0.006728
4.2059,-0.0074142
4.2353,-0.006744
4.2647,-0.0059865
4.2941,-0.0063905
4.3235,-0.0055961
4.3529,-0.0057656
4.3824,-0.0058663
4.4118,-0.0048548
4.4412,-0.0047051
4.4706,-0.00366
4.5,-0.0025712
4.5294,-0.0022799
4.5588,-0.001201
4.5882,-0.00083465
4.6176,-0.00046644
4.6302,0
4.6471,0.00062139
4.6765,0.0010252
4.7059,0.0020096
4.7353,0.0029665
4.7647,0.0032794
4.7941,0.0041031
4.8235,0.0043101
4.8529,0.0044507
4.8824,0.0050643
4.9118,0.0051097
4.9412,0.0055743
4.9706,0.0059596
5,0.0057622
