"x","y"
-5,-0.0028776
-4.9706,-0.0027939
-4.9412,-0.0027173
-4.9118,-0.0025826
-4.8824,-0.0023237
-4.8529,-0.0020348
-4.8235,-0.0016642
-4.7941,-0.0012604
-4.7647,-0.00087144
-4.7353,-0.00040533
-4.7059,-2.0564e-05
-4.7043,0
-4.6765,0.00037075
-4.6471,0.00085635
-4.6176,0.0012082
-4.5882,0.0016405
-4.5588,0.0020576
-4.5294,0.0023631
-4.5,0.0027112
-4.4706,0.0028998
-4.4412,0.0030553
-4.4118,0.0033026
-4.3824,0.0033591
-4.3529,0.0035326
-4.3235,0.0036517
-4.2941,0.0035428
-4.2647,0.0035665
-4.2353,0.0033058
-4.2059,0.0029823
-4.1765,0.0028148
-4.1471,0.0023472
-4.1176,0.0021253
-4.0882,0.001844
-4.0588,0.0011939
-3.9957,0
-3.9706,-0.00065052
-3.9412,-0.0010422
-4.0294,0.00085507
-4,0.00011113
-3.9118,-0.001885
-3.8824,-0.0021782
-3.8529,-0.0024535
-3.8235,-0.0032363
-3.7941,-0.0033883
-3.7647,-0.0041724
-3.7353,-0.0049057
-3.7059,-0.0048955
-3.6765,-0.0055828
-3.6471,-0.0053394
-3.6176,-0.0050465
-3.5882,-0.0055747
-3.5588,-0.0050727
-3.5294,-0.0056407
-3.5,-0.0061533
-3.4706,-0.0054669
-3.4412,-0.0059787
-3.4118,-0.0050497
-3.3824,-0.004095
-3.3529,-0.0045145
-3.3235,-0.0033597
-3.2941,-0.0039076
-3.2647,-0.0044251
-3.2353,-0.003147
-3.2059,-0.0037655
-3.1765,-0.002278
-3.1471,-0.00079766
-3.1176,-0.0014165
-3.0925,0
-3.0792,0
-3.0588,-0.000551
-3.0294,-0.0013411
-3.0064,0
-3.0882,0.00024461
-3,0.00036984
-2.9886,0
-2.9706,-0.00059129
-2.9612,0
-2.9412,0.0012588
-2.9118,0.0031056
-2.8824,0.0020821
-2.8529,0.0040384
-2.8235,0.0028203
-2.7941,0.0016122
-2.7647,0.0035277
-2.7353,0.0021933
-2.7059,0.0042127
-2.6765,0.0062266
-2.6471,0.0047982
-2.6176,0.0068136
-2.5882,0.0052253
-2.5588,0.0036478
-2.5294,0.0056004
-2.5,0.0039941
-2.4706,0.0059875
-2.4412,0.0079753
-2.4118,0.0062898
-2.3824,0.0081778
-2.3529,0.0064137
-2.3235,0.0046623
-2.2941,0.0064768
-2.2647,0.0048181
-2.2353,0.0065922
-2.2059,0.0083685
-2.1765,0.0066714
-2.1471,0.008235
-2.1176,0.006572
-2.0882,0.0049166
-2.0588,0.0063966
-2.0294,0.0049836
-2,0.0063286
-1.9706,0.007689
-1.9412,0.0062728
-1.9118,0.0073462
-1.8824,0.0060166
-1.8529,0.0046921
-1.8235,0.005713
-1.7941,0.0046478
-1.7647,0.0055695
-1.7353,0.0065085
-1.7059,0.0054377
-1.6765,0.0061686
-1.6471,0.005105
-1.6176,0.004053
-1.5882,0.0047656
-1.5588,0.0039103
-1.5294,0.0046096
-1.5,0.0053257
-1.4706,0.004464
-1.4412,0.0050318
-1.4118,0.0041228
-1.3824,0.0032313
-1.3529,0.0037946
-1.3235,0.0030615
-1.2941,0.0036594
-1.2647,0.0042757
-1.2353,0.0035357
-1.2059,0.0040273
-1.1765,0.0032231
-1.1471,0.0024403
-1.1176,0.002931
-1.0882,0.0022859
-1.0588,0.0028268
-1.0294,0.003389
-1,0.0027359
-0.97059,0.0031835
-0.94118,0.0024696
-0.91176,0.0017806
-0.88235,0.0022269
-0.85294,0.0016628
-0.82353,0.0021539
-0.79412,0.0026701
-0.76471,0.0020982
-0.73529,0.0025087
-0.70588,0.00189
-0.67647,0.0012938
-0.64706,0.0016996
-0.61765,0.0012267
-0.58824,0.0016538
-0.55882,0.002105
-0.52941,0.0016266
-0.5,0.0019772
-0.47059,0.0014819
-0.44118,0.00098542
-0.41176,0.0013255
-0.38235,0.0009772
-0.35294,0.0013079
-0.32353,0.0016384
-0.29412,0.0012931
-0.26471,0.00146
-0.23529,0.0011647
-0.20588,0.00090441
-0.17647,0.0010692
-0.14706,0.00096748
-0.11765,0.0010757
-0.088235,0.001194
-0.058824,0.0011055
-0.029412,0.0011112
0,0.0011134
0.029412,0.0011112
0.058824,0.0011055
0.088235,0.001194
0.11765,0.0010757
0.14706,0.00096748
0.17647,0.0010692
0.20588,0.00090441
0.23529,0.0011647
0.26471,0.00146
0.29412,0.0012931
0.32353,0.0016384
0.35294,0.0013079
0.38235,0.0009772
0.41176,0.0013255
0.44118,0.00098542
0.47059,0.0014819
0.5,0.0019772
0.52941,0.0016266
0.55882,0.002105
0.58824,0.0016538
0.61765,0.0012267
0.64706,0.0016996
0.67647,0.0012938
0.70588,0.00189
0.73529,0.0025087
0.76471,0.0020982
0.79412,0.0026701
0.82353,0.0021539
0.85294,0.0016628
0.88235,0.0022269
0.91176,0.0017806
0.94118,0.0024696
0.97059,0.0031835
1,0.0027359
1.0294,0.003389
1.0588,0.0028268
1.0882,0.0022859
1.1176,0.002931
1.1471,0.0024403
1.1765,0.0032231
1.2059,0.0040273
1.2353,0.0035357
1.2647,0.0042757
1.2941,0.0036594
1.3235,0.0030615
1.3529,0.0037946
1.3824,0.0032313
1.4118,0.0041228
1.4412,0.0050318
1.4706,0.004464
1.5,0.0053257
1.5294,0.0046096
1.5588,0.0039103
1.5882,0.0047656
1.6176,0.004053
1.6471,0.005105
1.6765,0.0061686
1.7059,0.0054377
1.7353,0.0065085
1.7647,0.0055695
1.7941,0.0046478
1.8235,0.005713
1.8529,0.0046921
1.8824,0.0060166
1.9118,0.0073462
1.9412,0.0062728
1.9706,0.007689
2,0.0063286
2.0294,0.0049836
2.0588,0.0063966
2.0882,0.0049166
2.1176,0.006572
2.1471,0.008235
2.1765,0.0066714
2.2059,0.0083685
2.2353,0.0065922
2.2647,0.0048181
2.2941,0.0064768
2.3235,0.0046623
2.3529,0.0064137
2.3824,0.0081778
2.4118,0.0062898
2.4412,0.0079753
2.4706,0.0059875
2.5,0.0039941
2.5294,0.0056004
2.5588,0.0036478
2.5882,0.0052253
2.6176,0.0068136
2.6471,0.0047982
2.6765,0.0062266
2.7059,0.0042127
2.7353,0.0021933
2.7647,0.0035277
2.7941,0.0016122
2.8235,0.0028203
2.8529,0.0040384
2.8824,0.0020821
2.9612,0
2.9706,-0.00059129
2.9886,0
2.9118,0.0031056
2.9412,0.0012588
3,0.00036984
3.0064,0
3.0294,-0.0013411
3.0588,-0.000551
3.0792,0
3.0925,0
3.1176,-0.0014165
3.0882,0.00024461
3.1471,-0.00079766
3.1765,-0.002278
3.2059,-0.0037655
3.2353,-0.003147
3.2647,-0.0044251
3.2941,-0.0039076
3.3235,-0.0033597
3.3529,-0.0045145
3.3824,-0.004095
3.4118,-0.0050497
3.4412,-0.0059787
3.4706,-0.0054669
3.5,-0.0061533
3.5294,-0.0056407
3.5588,-0.0050727
3.5882,-0.0055747
3.6176,-0.0050465
3.6471,-0.0053394
3.6765,-0.0055828
3.7059,-0.0048955
3.7353,-0.0049057
3.7647,-0.0041724
3.7941,-0.0033883
3.8235,-0.0032363
3.8529,-0.0024535
3.8824,-0.0021782
3.9118,-0.001885
3.9412,-0.0010422
3.9706,-0.00065052
3.9957,0
4,0.00011113
4.0294,0.00085507
4.0588,0.0011939
4.0882,0.001844
4.1176,0.0021253
4.1471,0.0023472
4.1765,0.0028148
4.2059,0.0029823
4.2353,0.0033058
4.2647,0.0035665
4.2941,0.0035428
4.3235,0.0036517
4.3529,0.0035326
4.3824,0.0033591
4.4118,0.0033026
4.4412,0.0030553
4.4706,0.0028998
4.5,0.0027112
4.5294,0.0023631
4.5588,0.0020576
4.5882,0.0016405
4.6176,0.0012082
4.6471,0.00085635
4.7043,0
4.7059,-2.0564e-05
4.7353,-0.00040533
4.7647,-0.00087144
4.6765,0.00037075
4.7941,-0.0012604
4.8235,-0.0016642
4.8529,-0.0020348
4.8824,-0.0023237
4.9118,-0.0025826
4.9412,-0.0027173
4.9706,-0.0027939
5,-0.0028776
