"x","y"
-5,3.4177e-09
-4.9706,7.7696e-09
-4.9412,1.0672e-08
-4.9118,1.3496e-08
-4.8824,1.7612e-08
-4.8529,1.2168e-08
-4.8235,8.7822e-09
-4.7941,5.7622e-09
-4.7647,1.4146e-09
-4.7353,8.8409e-09
-4.7059,1.3206e-08
-4.6765,1.7002e-08
-4.6471,2.2718e-08
-4.5526,0
-4.5294,-6.0559e-09
-4.6176,1.2261e-08
-4.5882,6.4911e-09
-4.5588,1.6408e-09
-4.5175,0
-4.5,8.8582e-09
-4.4706,1.6524e-08
-4.4412,2.2906e-08
-4.4118,3.3972e-08
-4.348,0
-4.3235,-7.4926e-09
-4.2941,-2.4092e-08
-4.3824,1.2224e-08
-4.3529,1.5076e-09
-4.2705,0
-4.2647,5.9592e-09
-4.2353,1.9094e-08
-4.2059,2.9824e-08
-4.1765,5.2661e-08
-4.1348,0
-4.1176,-1.1275e-08
-4.0882,-2.776e-08
-4.0588,-6.3988e-08
-4.1471,8.0157e-09
-4.0294,-5.2802e-09
-4.0218,0
-4,1.5013e-08
-3.9706,3.1185e-08
-3.9412,7.7531e-08
-3.9156,0
-3.9118,-1.1485e-08
-3.8824,-4.3857e-08
-3.8529,-7.2216e-08
-3.8235,-1.492e-07
-3.7941,-3.8507e-08
-3.7647,-1.2918e-08
-3.7448,0
-3.7353,6.1361e-09
-3.7059,9.7221e-08
-3.6893,0
-3.6765,-7.5467e-08
-3.6471,-1.2445e-07
-3.6176,-1.6886e-07
-3.5882,-3.2781e-07
-3.5588,-1.2573e-07
-3.5294,-1.094e-07
-3.5,-1.0274e-07
-3.4825,0
-3.4706,7.0337e-08
-3.4643,0
-3.4412,-2.6074e-07
-3.4118,-3.2446e-07
-3.3824,-3.864e-07
-3.3529,-7.1206e-07
-3.3235,-3.5564e-07
-3.2941,-4.0481e-07
-3.2647,-4.6694e-07
-3.2353,-1.4916e-07
-3.2059,-7.8462e-07
-3.1765,-8.2299e-07
-3.1471,-8.6614e-07
-3.1176,-1.5155e-06
-3.0882,-8.3298e-07
-3.0588,-1.0627e-06
-3.0294,-1.2968e-06
-3,-6.2663e-07
-2.9706,-1.8134e-06
-2.9412,-1.6402e-06
-2.9118,-1.5204e-06
-2.8824,-2.8649e-06
-2.8529,-1.6761e-06
-2.8235,-2.9398e-06
-2.7941,-4.333e-06
-2.7647,-3.5282e-06
-2.7353,-7.5433e-06
-2.7059,-8.1586e-06
-2.6765,-9.1554e-06
-2.6471,-1.4306e-05
-2.6176,-1.2318e-05
-2.5882,-1.478e-05
-2.5588,-1.602e-05
-2.5294,-1.0344e-05
-2.5,-6.9698e-06
-2.4874,0
-2.4706,9.3573e-06
-2.4412,2.853e-05
-2.4118,4.0404e-05
-2.3824,6.4144e-05
-2.3529,5.8743e-05
-2.3235,4.7251e-05
-2.2941,5.2581e-05
-2.2717,0
-2.2647,-1.6358e-05
-2.2353,-7.6233e-05
-2.2059,-0.00016039
-2.1765,-0.00030233
-2.1471,-0.00040479
-2.1176,-0.00051937
-2.0882,-0.00061521
-2.0588,-0.00066107
-2.0294,-0.00060115
-2,-0.00032248
-1.9754,0
-1.9706,6.3108e-05
-1.9412,0.0004498
-1.9118,0.0011053
-1.8824,0.0015452
-1.8529,0.0020099
-1.8235,0.0027362
-1.7941,0.002898
-1.7647,0.0029487
-1.7353,0.0026995
-1.7059,0.0019551
-1.6589,0
-1.6471,-0.00065974
-1.6176,-0.0026354
-1.5882,-0.0045933
-1.6765,0.00098252
-1.5588,-0.006937
-1.5294,-0.0081534
-1.5,-0.0091835
-1.4706,-0.010935
-1.4412,-0.011103
-1.4118,-0.011701
-1.3824,-0.011685
-1.3529,-0.0099641
-1.3235,-0.0089265
-1.2941,-0.0062474
-1.2647,-0.003275
-1.2353,-0.0013201
-1.2243,0
-1.2059,0.0022713
-1.1765,0.0034873
-1.1471,0.0045664
-1.1176,0.0076959
-1.0882,0.0081349
-1.0588,0.011135
-1.0294,0.013879
-1,0.013363
-0.97059,0.015521
-0.94118,0.014222
-0.91176,0.012799
-0.88235,0.014365
-0.85294,0.012504
-0.82353,0.01436
-0.79412,0.016197
