"x","y"
-5,2.4291e-09
-4.9706,2.3659e-09
-4.9412,2.3356e-09
-4.9118,2.3477e-09
-4.8824,2.4117e-09
-4.8529,2.348e-09
-4.8235,2.2979e-09
-4.7941,2.2902e-09
-4.7647,2.3537e-09
-4.7353,2.2856e-09
-4.7059,2.2108e-09
-4.6765,2.1783e-09
-4.6471,2.2371e-09
-4.6176,2.1576e-09
-4.5882,2.0494e-09
-4.5588,1.9831e-09
-4.5294,2.0292e-09
-4.5,1.9269e-09
-4.4706,1.7714e-09
-4.4412,1.6568e-09
-4.4118,1.6772e-09
-4.3824,1.5355e-09
-4.3529,1.3117e-09
-4.3235,1.1266e-09
-4.2941,1.1008e-09
-4.2647,8.9488e-10
-4.2353,5.7191e-10
-4.2059,2.8335e-10
-4.1765,1.8068e-10
-4.1591,0
-4.1471,-1.2603e-10
-4.1176,-5.9353e-10
-4.0882,-1.034e-09
-4.0588,-1.2595e-09
-4.0294,-1.7207e-09
-4,-2.3988e-09
-3.9706,-3.0621e-09
-3.9412,-3.4787e-09
-3.9118,-4.1729e-09
-3.8824,-5.1579e-09
-3.8529,-6.1476e-09
-3.8235,-6.856e-09
-3.7941,-7.8988e-09
-3.7647,-9.3308e-09
-3.7353,-1.0798e-08
-3.7059,-1.1946e-08
-3.6765,-1.3507e-08
-3.6471,-1.559e-08
-3.6176,-1.7754e-08
-3.5882,-1.956e-08
-3.5588,-2.1888e-08
-3.5294,-2.4919e-08
-3.5,-2.8101e-08
-3.4706,-3.0883e-08
-3.4412,-3.4344e-08
-3.4118,-3.8755e-08
-3.3824,-4.3422e-08
-3.3529,-4.7649e-08
-3.3235,-5.2779e-08
-3.2941,-5.9201e-08
-3.2647,-6.6032e-08
-3.2353,-7.239e-08
-3.2059,-7.998e-08
-3.1765,-8.9332e-08
-3.1471,-9.9319e-08
-3.1176,-1.0882e-07
-3.0882,-1.2002e-07
-3.0588,-1.3364e-07
-3.0294,-1.4822e-07
-3,-1.6233e-07
-2.9706,-1.7887e-07
-2.9412,-1.9872e-07
-2.9118,-2.2003e-07
-2.8824,-2.4093e-07
-2.8529,-2.6528e-07
-2.8235,-2.9419e-07
-2.7941,-3.2527e-07
-2.7647,-3.5614e-07
-2.7353,-3.9208e-07
-2.7059,-4.3433e-07
-2.6765,-4.798e-07
-2.6471,-5.2539e-07
-2.6176,-5.7809e-07
-2.5882,-6.3962e-07
-2.5588,-7.0596e-07
-2.5294,-7.7306e-07
-2.5,-8.5118e-07
-2.4706,-9.4174e-07
-2.4412,-1.0393e-06
-2.4118,-1.1386e-06
-2.3824,-1.252e-06
-2.3529,-1.3834e-06
-2.3235,-1.5256e-06
-2.2941,-1.671e-06
-2.2647,-1.8421e-06
-2.2353,-2.0389e-06
-2.2059,-2.2508e-06
-2.1765,-2.4673e-06
-2.1471,-2.7102e-06
-2.1176,-2.9907e-06
-2.0882,-3.2954e-06
-2.0588,-3.6107e-06
-2.0294,-3.9986e-06
-2,-4.4347e-06
-1.9706,-4.9022e-06
-1.9412,-5.3845e-06
-1.9118,-5.9046e-06
-1.8824,-6.4925e-06
-1.8529,-7.14e-06
-1.8235,-7.8391e-06
-1.7941,-8.7837e-06
-1.7647,-9.7885e-06
-1.7353,-1.0859e-05
-1.7059,-1.1999e-05
-1.6765,-1.3065e-05
-1.6471,-1.4257e-05
-1.6176,-1.5631e-05
-1.5882,-1.7244e-05
-1.5588,-1.967e-05
-1.5294,-2.2231e-05
-1.5,-2.4943e-05
-1.4706,-2.782e-05
-1.4412,-2.9477e-05
-1.4118,-3.2033e-05
-1.3824,-3.5276e-05
-1.3529,-3.8995e-05
-1.3235,-4.5936e-05
-1.2941,-5.4613e-05
-1.2647,-6.385e-05
-1.2353,-7.247e-05
-1.2059,-7.4478e-05
-1.1765,-8.1854e-05
-1.1471,-9.1118e-05
-1.1176,-9.8784e-05
-1.0882,-0.00012097
-1.0588,-0.00014851
-1.0294,-0.0001763
-1,-0.00019926
-0.97059,-0.00018778
-0.94118,-0.00017975
-0.91176,-0.0001666
-0.88235,-0.00013972
-0.85294,-0.00011787
-0.82353,-0.00010614
-0.79412,-0.00010309
-0.76471,-0.00010729
-0.73529,-0.00054022
-0.70588,-0.001294
-0.67647,-0.0022935
-0.64706,-0.0034626
-0.61765,-0.0052357
-0.58824,-0.0060918
-0.55882,-0.0068501
-0.52941,-0.0082975
-0.5,-0.0065353
-0.47059,-0.00412
-0.44118,-4.6732e-06
-0.44116,0
-0.41176,0.0068495
-0.38235,0.012267
-0.35294,0.019411
-0.32353,0.026389
-0.30425,0.029412
-0.29412,0.031228
-0.26471,0.037649
-0.23529,0.03506
-0.20588,0.031237
-0.17647,0.031203
-0.16893,0.029412
-0.14706,0.024072
-0.11765,0.024909
-0.088235,0.025512
-0.058824,0.018972
-0.029412,0.0169
0,0.016105
0.029412,0.0169
0.058824,0.018972
0.088235,0.025512
0.11765,0.024909
0.14706,0.024072
0.16893,0.029412
0.17647,0.031203
0.20588,0.031237
0.23529,0.03506
0.26471,0.037649
0.29412,0.031228
0.30425,0.029412
0.32353,0.026389
0.35294,0.019411
0.38235,0.012267
0.41176,0.0068495
0.44116,0
0.44118,-4.6732e-06
0.47059,-0.00412
0.5,-0.0065353
0.52941,-0.0082975
0.55882,-0.0068501
0.58824,-0.0060918
0.61765,-0.0052357
0.64706,-0.0034626
0.67647,-0.0022935
0.70588,-0.001294
0.73529,-0.00054022
0.76471,-0.00010729
0.79412,-0.00010309
0.82353,-0.00010614
0.85294,-0.00011787
0.88235,-0.00013972
0.91176,-0.0001666
0.94118,-0.00017975
0.97059,-0.00018778
1,-0.00019926
1.0294,-0.0001763
1.0588,-0.00014851
1.0882,-0.00012097
1.1176,-9.8784e-05
1.1471,-9.1118e-05
1.1765,-8.1854e-05
1.2059,-7.4478e-05
1.2353,-7.247e-05
1.2647,-6.385e-05
1.2941,-5.4613e-05
1.3235,-4.5936e-05
1.3529,-3.8995e-05
1.3824,-3.5276e-05
1.4118,-3.2033e-05
1.4412,-2.9477e-05
1.4706,-2.782e-05
1.5,-2.4943e-05
1.5294,-2.2231e-05
1.5588,-1.967e-05
1.5882,-1.7244e-05
1.6176,-1.5631e-05
1.6471,-1.4257e-05
1.6765,-1.3065e-05
1.7059,-1.1999e-05
1.7353,-1.0859e-05
1.7647,-9.7885e-06
1.7941,-8.7837e-06
1.8235,-7.8391e-06
1.8529,-7.14e-06
1.8824,-6.4925e-06
1.9118,-5.9046e-06
1.9412,-5.3845e-06
1.9706,-4.9022e-06
2,-4.4347e-06
2.0294,-3.9986e-06
2.0588,-3.6107e-06
2.0882,-3.2954e-06
2.1176,-2.9907e-06
2.1471,-2.7102e-06
2.1765,-2.4673e-06
2.2059,-2.2508e-06
2.2353,-2.0389e-06
2.2647,-1.8421e-06
2.2941,-1.671e-06
2.3235,-1.5256e-06
2.3529,-1.3834e-06
2.3824,-1.252e-06
2.4118,-1.1386e-06
2.4412,-1.0393e-06
2.4706,-9.4174e-07
2.5,-8.5118e-07
2.5294,-7.7306e-07
2.5588,-7.0596e-07
2.5882,-6.3962e-07
2.6176,-5.7809e-07
2.6471,-5.2539e-07
2.6765,-4.798e-07
2.7059,-4.3433e-07
2.7353,-3.9208e-07
2.7647,-3.5614e-07
2.7941,-3.2527e-07
2.8235,-2.9419e-07
