"x","y"
-5,4.242e-09
-4.9706,4.2115e-09
-4.9412,4.1773e-09
-4.9118,4.1553e-09
-4.8824,4.1615e-09
-4.8529,4.1044e-09
-4.8235,4.0096e-09
-4.7941,3.9254e-09
-4.7647,3.9002e-09
-4.7353,3.8058e-09
-4.7059,3.6366e-09
-4.6765,3.4742e-09
-4.6471,3.4007e-09
-4.6176,3.2459e-09
-4.5882,2.9746e-09
-4.5588,2.7039e-09
-4.5294,2.5512e-09
-4.5,2.3026e-09
-4.4706,1.8883e-09
-4.4412,1.4639e-09
-4.4118,1.185e-09
-4.346,0
-4.3235,-4.9883e-10
-4.2941,-9.7994e-10
-4.3824,7.8198e-10
-4.3529,1.5458e-10
-4.2647,-1.6078e-09
-4.2353,-2.5354e-09
-4.2059,-3.5165e-09
-4.1765,-4.3046e-09
-4.1471,-5.3066e-09
-4.1176,-6.7022e-09
-4.0882,-8.1875e-09
-4.0588,-9.4591e-09
-4.0294,-1.0955e-08
-4,-1.2979e-08
-3.9706,-1.5161e-08
-3.9412,-1.7132e-08
-3.9118,-1.9518e-08
-3.8824,-2.2594e-08
-3.8529,-2.5903e-08
-3.8235,-2.8989e-08
-3.7941,-3.2373e-08
-3.7647,-3.6716e-08
-3.7353,-4.1466e-08
-3.7059,-4.6072e-08
-3.6765,-5.1622e-08
-3.6471,-5.8409e-08
-3.6176,-6.5734e-08
-3.5882,-7.2896e-08
-3.5588,-8.0204e-08
-3.5294,-8.9357e-08
-3.5,-9.9513e-08
-3.4706,-1.0983e-07
-3.4412,-1.227e-07
-3.4118,-1.3783e-07
-3.3824,-1.5409e-07
-3.3529,-1.7035e-07
-3.3235,-1.8538e-07
-3.2941,-2.042e-07
-3.2647,-2.2548e-07
-3.2353,-2.4791e-07
-3.2059,-2.7816e-07
-3.1765,-3.1248e-07
-3.1471,-3.4894e-07
-3.1176,-3.8558e-07
-3.0882,-4.1462e-07
-3.0588,-4.5196e-07
-3.0294,-4.9545e-07
-3,-5.4294e-07
-2.9706,-6.1568e-07
-2.9412,-6.9523e-07
-2.9118,-7.7817e-07
-2.8824,-8.6106e-07
-2.8529,-9.1216e-07
-2.8235,-9.8272e-07
-2.7941,-1.0689e-06
-2.7647,-1.1669e-06
-2.7353,-1.3453e-06
-2.7059,-1.5331e-06
-2.6765,-1.7245e-06
-2.6471,-1.9137e-06
-2.6176,-1.9911e-06
-2.5882,-2.1172e-06
-2.5588,-2.2829e-06
-2.5294,-2.4795e-06
-2.5,-2.918e-06
-2.4706,-3.3627e-06
-2.4412,-3.8064e-06
-2.4118,-4.2423e-06
-2.3824,-4.3323e-06
-2.3529,-4.5496e-06
-2.3235,-4.8639e-06
-2.2941,-5.2447e-06
-2.2647,-6.3044e-06
-2.2353,-7.3354e-06
-2.2059,-8.3518e-06
-2.1765,-9.3676e-06
-2.1471,-9.442e-06
-2.1176,-9.8498e-06
-2.0882,-1.0475e-05
-2.0588,-1.1201e-05
-2.0294,-1.3698e-05
-2,-1.5961e-05
-1.9706,-1.8201e-05
-1.9412,-2.0633e-05
-1.9118,-2.0696e-05
-1.8824,-2.1595e-05
-1.8529,-2.2875e-05
-1.8235,-2.4077e-05
-1.7941,-2.9361e-05
-1.7647,-3.3454e-05
-1.7353,-3.7663e-05
-1.7059,-4.3296e-05
-1.6765,-4.3404e-05
-1.6471,-4.7055e-05
-1.6176,-5.1575e-05
-1.5882,-5.4285e-05
-1.5588,-6.7449e-05
-1.5294,-7.6698e-05
-1.5,-8.8025e-05
-1.4706,-0.0001074
-1.4412,-0.00012077
-1.4118,-0.00015456
-1.3824,-0.00019236
-1.3529,-0.00021764
-1.3235,-0.00025539
-1.2941,-0.00023761
-1.2647,-0.00020734
-1.2353,-0.00020721
-1.2059,-5.9219e-06
-1.2046,0
-1.1765,0.0001273
-1.1471,0.00030446
-1.1176,0.00063831
-1.019,0
-1,-0.00038783
-1.0882,0.00062032
-1.0588,0.00051671
-1.0294,0.00021627
-0.97059,-0.0014627
-0.94118,-0.0032079
-0.91176,-0.0052953
-0.88235,-0.0073902
-0.85294,-0.0094896
-0.82353,-0.0097978
-0.79412,-0.009608
-0.76471,-0.010156
-0.73529,-0.0077145
-0.70588,-0.0057463
-0.67647,-0.002493
-0.66497,0
-0.64706,0.0038176
-0.61765,0.0074947
-0.58824,0.01345
-0.55882,0.0191
-0.52941,0.021673
-0.5,0.02632
-0.47059,0.025802
-0.44118,0.024065
-0.41176,0.024955
-0.38235,0.020916
-0.35294,0.022152
-0.32353,0.023306
-0.29412,0.018912
-0.26471,0.019524
-0.23529,0.01537
-0.20588,0.011872
-0.17647,0.013156
-0.14706,0.01023
-0.11765,0.011532
-0.088235,0.012999
-0.058824,0.010476
-0.029412,0.010174
0,0.010058
0.029412,0.010174
0.058824,0.010476
0.088235,0.012999
0.11765,0.011532
0.14706,0.01023
0.17647,0.013156
0.20588,0.011872
0.23529,0.01537
0.26471,0.019524
0.29412,0.018912
0.32353,0.023306
0.35294,0.022152
0.38235,0.020916
0.41176,0.024955
0.44118,0.024065
0.47059,0.025802
0.5,0.02632
0.52941,0.021673
0.55882,0.0191
0.58824,0.01345
0.61765,0.0074947
0.64706,0.0038176
0.66497,0
0.67647,-0.002493
0.70588,-0.0057463
0.73529,-0.0077145
0.76471,-0.010156
0.79412,-0.009608
0.82353,-0.0097978
0.85294,-0.0094896
0.88235,-0.0073902
0.91176,-0.0052953
0.94118,-0.0032079
0.97059,-0.0014627
1,-0.00038783
1.019,0
1.0294,0.00021627
1.0588,0.00051671
1.0882,0.00062032
1.1176,0.00063831
1.2046,0
1.2059,-5.9219e-06
1.2353,-0.00020721
1.1471,0.00030446
1.1765,0.0001273
1.2647,-0.00020734
1.2941,-0.00023761
1.3235,-0.00025539
1.3529,-0.00021764
1.3824,-0.00019236
1.4118,-0.00015456
1.4412,-0.00012077
1.4706,-0.0001074
1.5,-8.8025e-05
1.5294,-7.6698e-05
1.5588,-6.7449e-05
1.5882,-5.4285e-05
1.6176,-5.1575e-05
1.6471,-4.7055e-05
1.6765,-4.3404e-05
1.7059,-4.3296e-05
1.7353,-3.7663e-05
1.7647,-3.3454e-05
1.7941,-2.9361e-05
1.8235,-2.4077e-05
1.8529,-2.2875e-05
1.8824,-2.1595e-05
1.9118,-2.0696e-05
1.9412,-2.0633e-05
1.9706,-1.8201e-05
2,-1.5961e-05
2.0294,-1.3698e-05
2.0588,-1.1201e-05
2.0882,-1.0475e-05
2.1176,-9.8498e-06
2.1471,-9.442e-06
2.1765,-9.3676e-06
2.2059,-8.3518e-06
2.2353,-7.3354e-06
2.2647,-6.3044e-06
2.2941,-5.2447e-06
2.3235,-4.8639e-06
2.3529,-4.5496e-06
2.3824,-4.3323e-06
2.4118,-4.2423e-06
2.4412,-3.8064e-06
2.4706,-3.3627e-06
2.5,-2.918e-06
2.5294,-2.4795e-06
2.5588,-2.2829e-06
2.5882,-2.1172e-06
2.6176,-1.9911e-06
2.6471,-1.9137e-06
