NoOfCores	runtime_per_iter	Speedup
8	0.8644805638888887	1
16	1.3383726239130433	0.6459191920418836
32	1.8916207256578947	0.4570052295172582
64	2.283260309157509	0.3786167352104806
128	4.869217301923077	0.17753994333903844
256	9.940844788413546	0.08696248480777766
512	29.758804741428566	0.02904957277015251
