 #Line, #Time, #Iter	L2Norm MomentumX    L2Norm MomentumY    L2Norm ContiEq      L2Norm Total        
    75,    15,     4	4.278982E-009       1.453723E-009       9.049876E-014       4.519181E-009       
    76,    15,     5	6.865867E-011       6.302561E-012       9.056591E-014       6.894740E-011       
    77,    16,     1	2.864490E-001       5.393946E-001       1.200546E-003       6.107381E-001       
    78,    16,     2	2.996949E-004       6.809280E-005       1.128979E-013       3.073332E-004       
    79,    16,     3	1.119559E-006       4.228162E-007       1.253900E-013       1.196740E-006       
    80,    16,     4	4.066977E-009       1.351010E-009       9.306684E-014       4.285502E-009       
    81,    16,     5	4.113839E-011       5.943935E-012       9.846522E-014       4.156570E-011       
    82,    17,     1	2.813785E-001       5.196680E-001       1.459650E-003       5.909576E-001       
    83,    17,     2	2.925870E-004       6.255452E-005       1.263754E-013       2.991993E-004       
    84,    17,     3	1.076902E-006       4.244021E-007       1.360659E-013       1.157513E-006       
    85,    17,     4	3.886838E-009       1.262497E-009       1.434087E-013       4.086736E-009       
    86,    17,     5	8.661251E-011       6.027913E-012       1.991786E-013       8.682225E-011       
    87,    18,     1	2.639562E-001       4.506886E-001       2.832963E-003       5.223036E-001       
    88,    18,     2	2.863970E-004       5.748687E-005       3.919185E-014       2.921095E-004       
    89,    18,     3	1.042056E-006       4.261893E-007       2.892489E-014       1.125841E-006       
    90,    18,     4	3.810217E-009       1.198468E-009       1.792595E-014       3.994256E-009       
    91,    18,     5	2.551706E-011       5.619656E-012       2.005005E-014       2.612855E-011       
    92,    19,     1	2.520146E-001       4.143670E-001       9.490977E-004       4.849869E-001       
    93,    19,     2	2.789963E-004       5.280049E-005       1.776616E-014       2.839486E-004       
    94,    19,     3	1.002262E-006       4.273195E-007       2.479189E-014       1.089556E-006       
    95,    19,     4	3.679992E-009       1.123483E-009       3.821804E-014       3.847669E-009       
    96,    19,     5	2.349521E-011       5.486895E-012       2.016500E-014       2.412740E-011       
