Grouping:Basaran (1992)
# x 	 y
2.2695035000000000E-001	1.5969487000000000E+000
2.8368794000000003E-001	1.5237171000000000E+000
3.9716311999999998E-001	1.4305132000000000E+000
4.8226950000000002E-001	1.3356448999999999E+000
5.9574468000000003E-001	1.2291262000000001E+000
6.8085105999999995E-001	1.0876560000000000E+000
7.6595745000000004E-001	1.0260749000000000E+000
8.2269504000000004E-001	9.3619971999999996E-001
9.3617021000000000E-001	8.4965325999999997E-001
9.9290780000000001E-001	7.6310679999999997E-001
1.1063829999999999E+000	7.3814146999999997E-001
1.2482270000000000E+000	7.1484049999999999E-001
1.3900709000000000E+000	7.5478502000000003E-001
1.5886525000000000E+000	8.3966713000000004E-001
1.7304965000000001E+000	9.5284327000000002E-001
1.8439715999999999E+000	1.0710124999999999E+000
2.0141844000000000E+000	1.1708738000000001E+000
2.1560283999999998E+000	1.2158114000000000E+000
2.3262410999999998E+000	1.2357836000000000E+000
2.5815603000000000E+000	1.2108182999999999E+000
2.6950354999999999E+000	1.1592233000000001E+000
2.8085106000000000E+000	1.1059639000000001E+000
2.9787233999999998E+000	1.0210817999999999E+000
3.1205674000000001E+000	9.5950069000000004E-001
3.2624113000000001E+000	9.0457697999999997E-001
3.3475177000000000E+000	8.8626906999999999E-001
3.5460992999999998E+000	8.7628293999999995E-001
3.7730495999999998E+000	8.9958391000000004E-001
3.9432624000000001E+000	9.5783633999999995E-001
4.1134751999999999E+000	1.0110957000000000E+000
4.3687943000000002E+000	1.0660194000000001E+000
4.6808510999999999E+000	1.0909846999999999E+000
4.9929078000000002E+000	1.0693481000000000E+000
5.1631206000000001E+000	1.0310680000000001E+000
5.3617020999999996E+000	9.8779472999999995E-001
5.5886525000000002E+000	9.5783633999999995E-001
5.8723403999999997E+000	9.4618584999999999E-001
6.1560284000000003E+000	9.7281552999999998E-001
6.4680850999999997E+000	1.0061026000000000E+000
6.8085106000000000E+000	1.0260749000000000E+000

 
