Grouping:Becker et. al. (1994)
# x 	 y
6.1591104000000001E-002	1.7390691000000000E+000
1.5397775999999999E-001	1.6815233000000001E+000
2.5662960000000001E-001	1.6070522000000000E+000
3.3875106999999999E-001	1.5342735999999999E+000
4.0034217000000000E-001	1.4581100000000000E+000
4.7219845999999999E-001	1.3802539000000000E+000
5.4405475000000003E-001	1.2736247999999999E+000
6.2617621999999995E-001	1.1720733000000001E+000
7.0829768999999998E-001	1.0789845000000000E+000
8.1094953000000003E-001	9.7066291000000005E-001
9.2386654999999995E-001	8.6403384999999999E-001
1.0059880000000001E+000	7.9971791000000003E-001
1.1189050000000000E+000	7.4724964999999999E-001
1.2523523999999999E+000	7.1509168000000001E-001
1.4473909000000000E+000	7.3032439999999998E-001
1.5911035000000000E+000	8.0310296000000003E-001
1.7450813000000001E+000	9.2496473999999995E-001
1.8579983000000000E+000	1.0315938000000000E+000
2.0735671999999998E+000	1.1703808000000000E+000
2.2686055999999999E+000	1.2414669000000000E+000
2.3917879000000002E+000	1.2516220000000000E+000
2.6278871000000001E+000	1.2110014000000000E+000
2.8742515000000002E+000	1.1094499000000000E+000
3.0590248000000000E+000	1.0299012999999999E+000
3.2232677999999999E+000	9.4188998999999995E-001
3.4593669999999999E+000	8.8603666999999997E-001
3.5825491999999999E+000	8.7757404999999999E-001
3.8391788000000000E+000	9.0296191999999997E-001
4.1163388000000003E+000	9.8928068000000002E-001
4.3627032000000003E+000	1.0603667000000001E+000
4.5680068000000000E+000	1.0908321999999999E+000
4.6911890999999999E+000	1.0976022999999999E+000
4.9067578999999997E+000	1.0874471000000001E+000
5.1633874999999998E+000	1.0468265000000001E+000
5.3994866999999998E+000	1.0028208999999999E+000
5.6355860000000000E+000	9.6558533000000002E-001
5.8716851999999999E+000	9.5543018000000002E-001
6.1180496000000000E+000	9.6897038000000002E-001
6.3541487999999999E+000	9.9435825000000000E-001
6.6313088000000002E+000	1.0282087000000000E+000

 
