Grouping:Meradji et. al. (2001)
# x 	 y
6.4000000000000001E-002	1.7242637000000001E+000
1.4399999999999999E-001	1.6636746000000000E+000
2.3999999999999999E-001	1.5828892000000001E+000
3.8400000000000001E-001	1.4785413999999999E+000
4.9600000000000000E-001	1.3809256999999999E+000
5.9199999999999997E-001	1.2462833000000000E+000
6.8799999999999994E-001	1.1217391000000001E+000
7.5200000000000000E-001	1.0258065000000001E+000
8.1599999999999995E-001	9.1136044999999999E-001
9.1200000000000003E-001	8.3394109000000005E-001
1.0560000000000000E+000	7.5315567999999999E-001
1.2320000000000000E+000	7.0939691000000005E-001
1.4079999999999999E+000	7.3632538999999997E-001
1.5360000000000000E+000	8.0028049999999995E-001
1.6799999999999999E+000	9.0126227000000003E-001
1.8400000000000001E+000	1.0072931000000001E+000
2.0000000000000000E+000	1.1200561000000000E+000
2.1280000000000001E+000	1.1941094000000001E+000
2.2240000000000002E+000	1.2210379000000000E+000
2.3359999999999999E+000	1.2395512000000000E+000
2.5600000000000001E+000	1.2109397000000000E+000
2.7200000000000002E+000	1.1503505999999999E+000
2.9119999999999999E+000	1.0712482000000001E+000
3.0240000000000000E+000	1.0123422000000000E+000
3.1680000000000001E+000	9.5007012999999996E-001
3.3439999999999999E+000	8.9957924000000000E-001
3.5520000000000000E+000	8.7601682999999997E-001
3.8079999999999998E+000	9.0631136000000001E-001
3.9840000000000000E+000	9.5511921000000000E-001
4.2240000000000002E+000	1.0224404000000000E+000
4.4320000000000004E+000	1.0645161000000001E+000
4.6719999999999997E+000	1.0897616000000001E+000
4.9600000000000000E+000	1.0695652000000000E+000
5.1520000000000001E+000	1.0258065000000001E+000
5.3600000000000003E+000	9.8709676999999996E-001
5.5839999999999996E+000	9.5848526999999994E-001
5.8559999999999999E+000	9.4502103999999998E-001
6.1760000000000002E+000	9.6521738999999995E-001
6.4480000000000004E+000	1.0005610000000000E+000
6.7039999999999997E+000	1.0258065000000001E+000

 
