0.001,1.00051
0.0020102,0.99959
0.0046807,0.99816
0.0079825,0.99887
0.012849,0.99744
0.022606,0.99672
0.036225,0.99385
0.058828,0.99026
0.080678,0.98667
0.127,0.97949
0.17573,0.97159
0.22746,0.96369
0.29572,0.95293
0.34401,0.94503
0.41468,0.93498
0.54154,0.91631
0.62717,0.90411
0.75265,0.88688
0.85629,0.8718
0.94433,0.86031
1.0368,0.84739
1.2332,0.82298
1.4156,0.8
1.6321,0.77559
1.8569,0.75118
2.1032,0.72462
2.3194,0.70165
2.6742,0.66862
3.1387,0.62985
3.6675,0.59252
4.1911,0.56021
4.6841,0.53293
5.3291,0.50206
6.1171,0.46975
7.0529,0.43744
8.2411,0.40585
9.3342,0.38073
10.5254,0.35847
