0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.201607180	0.139757687	0.008099811	0.000273360	4.255096670e-6	2.101575690e-7	1.639760370e-8	8.231729600e-12	-5.421439850e-12	6.613781300e-14	2.128914380e-16	0	0	0	0	0	0	0	0	0	0	0
0.000820235	-0.000268724	-0.000012357	0.000018441	1.817923260e-6	-5.781604950e-8	-5.245372520e-9	9.602467240e-11	7.888554040e-13	-1.789891020e-14	0	0	0	0	0	0	0	0	0	0	0	0
-0.377786787	-0.130914447	-0.022658290	-0.002826245	-0.000285721	-0.000010760	6.389189960e-7	-1.685086020e-7	-1.134654790e-8	9.156599990e-10	-1.452174760e-11	-2.843667250e-13	0	0	0	0	0	0	0	0	0	0
0.297507172	0.139236933	0.032664869	0.005228083	0.000719038	0.000074541	-7.456036730e-7	-2.675011090e-7	1.701728720e-7	-1.014489930e-10	-8.160084550e-10	3.053711760e-11	0	0	0	0	0	0	0	0	0	0
-0.200316935	-0.116898111	-0.034900506	-0.006971491	-0.001103227	-0.000158186	-0.000012237	1.368164150e-6	-1.083081310e-7	-7.958322420e-8	6.246182630e-9	4.807088120e-11	-1.089495350e-11	0	0	0	0	0	0	0	0	0
0.126698208	0.086331933	0.030493964	0.007395505	0.001364671	0.000218549	0.000028823	6.411269970e-7	-3.436717010e-7	1.055170750e-7	1.772866540e-8	-3.579147060e-9	1.451824180e-10	0	0	0	0	0	0	0	0	0
-0.078575964	-0.060194576	-0.023341677	-0.006375543	-0.001348912	-0.000238783	-0.000037031	-3.151467460e-6	2.292654010e-7	-2.930764820e-8	-2.876699510e-8	2.289360570e-10	6.619723820e-10	-4.035292340e-11	0	0	0	0	0	0	0	0
0.048606393	0.042068897	0.017355225	0.004907959	0.001100271	0.000205708	0.000035334	4.531132060e-6	-1.925752200e-7	-4.111583810e-8	4.469629600e-8	1.084125690e-9	-1.486076340e-9	8.996276690e-11	0	0	0	0	0	0	0	0
-0.029694740	-0.029948185	-0.013661336	-0.003951372	-0.000871338	-0.000156954	-0.000023445	-3.814668350e-6	-3.864106050e-7	1.490228500e-7	9.925652930e-9	-1.305045340e-8	4.444708910e-10	4.872071030e-10	-4.316003080e-11	0	0	0	0	0	0	0
0.017413635	0.020942200	0.011216939	0.003609403	0.000815882	0.000146464	0.000019651	7.699493100e-7	2.299957570e-8	1.252570350e-7	-3.211102140e-9	-1.054721040e-8	8.083188790e-11	2.304026770e-10	-2.645453170e-11	0	0	0	0	0	0	0
-0.009525307	-0.013692253	-0.008844512	-0.003414745	-0.000888391	-0.000171450	-0.000028585	-3.626076930e-6	4.018413790e-7	2.165160510e-7	-4.012698480e-8	-1.973148230e-8	1.923955880e-9	1.069600400e-9	-1.433977510e-11	-1.940642860e-11	0	0	0	0	0	0
0.004766659	0.008100791	0.006273578	0.002949911	0.000945329	0.000217063	0.000037646	6.683723440e-6	1.493658600e-6	7.837671490e-8	-9.400582580e-8	-1.399596210e-8	5.257787990e-9	1.165091090e-9	-9.283861010e-11	-2.761558220e-11	0	0	0	0	0	0
-0.002158820	-0.004277971	-0.003902218	-0.002187541	-0.000854709	-0.000248983	-0.000054024	-8.105553550e-6	-1.174089130e-6	-4.805482600e-7	-1.505249170e-7	-2.808421700e-9	9.135000070e-9	1.445329350e-9	-1.844097910e-10	-6.415888220e-11	-4.358733540e-12	0	0	0	0	0
0.000878594	0.002007934	0.002127415	0.001389932	0.000633992	0.000220470	0.000062665	0.000014325	2.054384610e-6	2.229446890e-8	4.504969660e-9	3.841320460e-8	1.390881980e-8	1.115760850e-9	-3.756436210e-10	-9.491429550e-11	-6.615044670e-12	0	0	0	0	0
-0.000318726	-0.000832720	-0.001017259	-0.000770440	-0.000404717	-0.000157695	-0.000049248	-0.000013941	-3.817230570e-6	-8.181357420e-7	-5.104219940e-8	3.347967750e-8	8.887755450e-9	-6.916303490e-10	-7.466115440e-10	-1.565810120e-10	-1.472878640e-11	-5.271288640e-13	0	0	0	0
0.000102125	0.000301941	0.000420964	0.000368396	0.000226550	0.000103032	0.000035243	9.230408390e-6	2.143510040e-6	6.488723140e-7	2.416361780e-7	6.634119020e-8	7.559368050e-9	-1.779547280e-9	-9.178813980e-10	-1.748130900e-10	-1.688499370e-11	-6.863750110e-13	0	0	0	0
-0.000028691	-0.000095192	-0.000149048	-0.000147239	-0.000103948	-0.000056283	-0.000024135	-8.051579610e-6	-1.893342590e-6	-2.210918020e-7	1.804836560e-8	1.431597250e-9	-7.973631710e-9	-4.361144780e-9	-1.215861540e-9	-2.084750290e-10	-2.218165630e-11	-1.339313430e-12	-3.452948800e-14	0	0	0
6.970297080e-6	0.000026111	0.000045879	0.000050233	0.000038678	0.000022717	0.000010989	4.686792640e-6	1.790825420e-6	5.702892540e-7	1.257996390e-7	7.159541810e-9	-7.590350320e-9	-3.666720280e-9	-9.405499440e-10	-1.562157960e-10	-1.689476650e-11	-1.092133030e-12	-3.222331830e-14	0	0	0
-1.387221730e-6	-6.004617900e-6	-0.000012223	-0.000015430	-0.000013411	-8.430722550e-6	-3.941632950e-6	-1.425598760e-6	-4.548181370e-7	-1.702070990e-7	-8.047505510e-8	-3.651601950e-8	-1.331732640e-8	-3.723820700e-9	-7.881229250e-10	-1.243479660e-10	-1.419106720e-11	-1.105905700e-12	-5.246840770e-14	-1.134775080e-15	0	0
1.958988890e-7	9.983485970e-7	2.429679930e-6	3.734753420e-6	4.036541220e-6	3.224173800e-6	1.937304980e-6	8.630926630e-7	2.620966200e-7	3.311300230e-8	-1.658048600e-8	-1.338596970e-8	-5.379654870e-9	-1.507971090e-9	-3.149269760e-10	-4.941989620e-11	-5.705473190e-12	-4.597673230e-13	-2.316238530e-14	-5.496428870e-16	0	0
-1.403629380e-8	-8.414553240e-8	-2.448948700e-7	-4.597067050e-7	-6.237530240e-7	-6.498161020e-7	-5.389646440e-7	-3.642194900e-7	-2.035611780e-7	-9.497228880e-8	-3.717304640e-8	-1.222205020e-8	-3.368014000e-9	-7.732554140e-10	-1.463768280e-10	-2.247917790e-11	-2.732492920e-12	-2.530859840e-13	-1.677582930e-14	-7.079458560e-16	-1.425623510e-17	0
