0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.202057660	0.139063784	0.008070186	0.000308893	8.072484400e-6	1.362256960e-7	3.799005890e-9	2.202921680e-10	3.537206620e-12	-1.074828860e-13	-1.050328910e-15	4.267847120e-17	-5.674675580e-20	-2.738670190e-21	1.364521790e-23	1.642034320e-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000167272	-0.000047587	-0.000014060	1.021735970e-6	4.267233140e-7	2.703154970e-8	-4.394556740e-10	-7.483795420e-11	-3.088762270e-13	5.930782740e-14	-1.267871850e-16	-1.392766990e-17	1.084750340e-19	1.753837820e-22	-2.787527170e-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.376826712	-0.130533978	-0.022556053	-0.002622877	-0.000241825	-0.000018473	-7.588420470e-7	1.578491910e-8	-2.933836970e-9	-6.965886170e-10	8.268686720e-12	2.414407350e-12	-8.098039830e-14	-1.596241460e-15	7.948678210e-17	-6.558160860e-19	-3.739509040e-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.297031128	0.137532747	0.031868076	0.004928086	0.000587076	0.000061724	5.250238190e-6	5.997685530e-8	-2.799038960e-8	4.663268880e-9	6.945600920e-10	-4.678315610e-11	-2.851072380e-12	2.645622470e-13	-2.869094690e-15	-1.308520760e-16	2.683691670e-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.201979590	-0.116772474	-0.033897182	-0.006582918	-0.000961670	-0.000117750	-0.000013735	-1.093838960e-6	7.536504050e-8	1.125198570e-8	-3.947084300e-9	-2.695132810e-10	5.553989570e-11	2.809394910e-14	-2.495614510e-13	9.198766620e-15	-4.696931690e-17	-1.572791660e-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.129319700	0.089281020	0.030855753	0.007153858	0.001246713	0.000174045	0.000021978	2.775834870e-6	1.327609000e-7	-4.734281060e-8	-3.950920320e-10	2.029523680e-9	-1.440852550e-11	-3.183436520e-11	1.781615460e-12	6.297459580e-14	-6.140524000e-15	1.116913570e-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.080043207	-0.064306969	-0.025623599	-0.006791487	-0.001354822	-0.000214766	-0.000028468	-3.778028770e-6	-4.706433750e-7	2.065031990e-8	1.536247610e-8	-1.847150470e-9	-6.302501960e-10	6.611349480e-11	9.103540990e-12	-1.359950990e-12	3.865022860e-14	7.208039390e-16	-3.301475060e-17	0	0	0	0	0	0	0	0	0	0	0	0	0
0.048182256	0.044508862	0.020261838	0.006034302	0.001333644	0.000233930	0.000033432	4.224217540e-6	6.026868380e-7	4.913454060e-8	-1.776978410e-8	-2.260851080e-9	1.055112070e-9	7.794766490e-11	-3.282253450e-11	-1.678282860e-13	4.411746020e-13	-2.931943200e-14	5.645622730e-16	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.028153422	-0.029640017	-0.015471015	-0.005241928	-0.001291244	-0.000248453	-0.000038794	-5.026093400e-6	-6.336660350e-7	-8.840437230e-8	4.000856930e-9	5.065957330e-9	-4.087636970e-10	-3.010614710e-10	2.587494490e-11	7.541765570e-12	-9.181033340e-13	-2.531364170e-14	5.542847880e-15	-1.538291360e-16	0	0	0	0	0	0	0	0	0	0	0	0
