 #Line, #Time, #Iter	L2Norm MomentumX    L2Norm MomentumY    L2Norm ContiEq      L2Norm Total        
     1,     1,     2	1.589482E-015       7.368174E-015       8.946477E-016       7.590575E-015       
     2,     2,     2	3.220780E-015       1.000584E-014       5.225233E-015       1.173854E-014       
     3,     3,     2	6.007491E-015       3.065242E-014       2.024689E-015       3.130112E-014       
     4,     4,     2	5.376406E-015       2.372744E-014       2.736505E-015       2.448235E-014       
     5,     5,     2	8.455263E-015       2.422326E-014       7.212983E-015       2.665117E-014       
     6,     6,     2	9.264510E-015       4.416058E-014       4.246375E-015       4.532130E-014       
     7,     7,     2	9.245395E-015       4.505048E-014       1.424164E-014       4.814403E-014       
     8,     8,     2	1.316496E-014       6.006917E-014       3.844369E-015       6.161493E-014       
     9,     9,     2	1.048248E-014       6.750732E-014       5.124364E-015       6.850825E-014       
    10,    10,     2	1.649663E-014       4.693486E-014       5.490689E-015       5.005165E-014       
    11,    11,     2	6.136464E-014       2.779322E-013       2.685811E-014       2.858904E-013       
    12,    12,     2	1.852071E-014       1.052913E-013       3.270851E-014       1.117995E-013       
    13,    13,     2	2.944861E-014       1.099117E-013       2.686087E-014       1.169158E-013       
    14,    14,     2	2.409586E-014       2.097944E-013       1.242504E-014       2.115388E-013       
    15,    15,     2	8.582325E-014       3.235055E-013       8.969374E-015       3.348162E-013       
    16,    16,     2	1.201533E-014       1.258797E-014       8.154950E-015       1.921792E-014       
    17,    17,     2	9.933735E-015       1.178498E-014       7.205359E-015       1.701418E-014       
    18,    18,     2	1.015962E-014       1.168333E-014       3.402226E-014       3.737957E-014       
    19,    19,     2	1.091220E-014       1.320770E-014       3.644135E-015       1.751568E-014       
    20,    20,     2	1.388568E-014       1.437231E-014       4.903297E-015       2.057712E-014       
    21,    21,     2	1.328541E-014       1.322756E-014       1.964587E-014       2.715568E-014       
    22,    22,     2	1.271175E-014       1.397116E-014       3.578417E-015       1.922465E-014       
    23,    23,     2	1.350768E-014       1.444021E-014       6.022664E-015       2.067001E-014       
    24,    24,     2	1.002799E-014       1.107584E-014       2.322455E-014       2.761548E-014       
    25,    25,     2	1.020506E-014       1.319570E-014       6.890812E-015       1.804863E-014       
    26,    26,     2	1.082444E-014       1.248513E-014       4.061738E-014       4.384995E-014       
    27,    27,     2	9.986717E-015       1.370289E-014       5.208798E-015       1.773796E-014       
    28,    28,     2	1.255666E-014       1.300560E-014       1.673881E-014       2.463743E-014       
    29,    29,     2	1.021708E-014       1.103075E-014       8.861754E-015       1.745270E-014       
    30,    30,     2	1.003523E-014       1.267014E-014       7.270073E-015       1.772265E-014       
    31,    31,     2	9.793718E-015       1.259279E-014       1.977183E-014       2.540513E-014       
    32,    32,     2	1.217953E-014       1.197191E-014       1.395534E-014       2.205491E-014       
