 #Line, #Time, #Iter	L2Norm MomentumX    L2Norm MomentumY    L2Norm ContiEq      L2Norm Total        
     1,     1,     2	3.009006E-015       3.768153E-015       2.906399E-015       5.630297E-015       
     2,     2,     2	9.987558E-015       1.104252E-014       2.420653E-015       1.508470E-014       
     3,     3,     2	1.610921E-015       3.808022E-015       1.783479E-015       4.502987E-015       
     4,     4,     2	3.181397E-014       4.151238E-014       4.363137E-015       5.248279E-014       
     5,     5,     2	3.337472E-012       2.635283E-012       2.173993E-013       4.258015E-012       
     6,     6,     2	2.525985E-013       4.133581E-013       1.376283E-013       5.035995E-013       
     7,     7,     2	3.059930E-012       9.090103E-013       1.565367E-013       3.195931E-012       
     8,     8,     2	2.640807E-012       9.377549E-013       9.100937E-014       2.803842E-012       
     9,     9,     2	4.705975E-014       1.111554E-013       6.983973E-015       1.209087E-013       
    10,    10,     2	2.836496E-014       2.819273E-014       1.403072E-014       4.238233E-014       
    11,    11,     2	1.705733E-013       1.121027E-013       3.045969E-014       2.063736E-013       
    12,    12,     2	8.996019E-013       4.629789E-013       1.982429E-013       1.030987E-012       
    13,    13,     2	5.072204E-013       3.200022E-012       6.737958E-013       3.309292E-012       
    14,    14,     2	2.178484E-013       4.067456E-013       2.259219E-014       4.619635E-013       
    15,    15,     2	6.301321E-015       9.815666E-015       3.647333E-015       1.222117E-014       
    16,    16,     2	1.031011E-014       1.486925E-014       3.464181E-015       1.842264E-014       
    17,    17,     2	9.458773E-015       6.094002E-015       4.161600E-015       1.199684E-014       
    18,    18,     2	3.339124E-015       1.056719E-014       3.711990E-015       1.168735E-014       
    19,    19,     2	4.332208E-015       7.056199E-015       4.772790E-015       9.557065E-015       
    20,    20,     2	1.188852E-014       3.267181E-014       5.164367E-015       3.514904E-014       
    21,    21,     2	5.848085E-015       1.602970E-014       5.358243E-015       1.788469E-014       
    22,    22,     2	7.825148E-014       5.026931E-014       5.616823E-015       9.317643E-014       
    23,    23,     2	5.619958E-014       4.885124E-014       6.575693E-015       7.475343E-014       
    24,    24,     2	1.803151E-013       4.830581E-013       2.599734E-013       5.774468E-013       
    25,    25,     2	1.315684E-014       2.024912E-014       4.226647E-015       2.451517E-014       
    26,    26,     2	6.528792E-015       1.853785E-014       4.150071E-015       2.008731E-014       
    27,    27,     2	1.715211E-014       3.044800E-014       5.429369E-015       3.536599E-014       
    28,    28,     2	4.038004E-015       9.268965E-015       5.272692E-015       1.140265E-014       
    29,    29,     2	1.067997E-013       1.330322E-013       1.120580E-014       1.709659E-013       
    30,    30,     2	1.710563E-014       2.931461E-014       4.934811E-015       3.429725E-014       
