 #Line, #Time, #Iter	L2Norm MomentumX    L2Norm MomentumY    L2Norm ContiEq      L2Norm Total        
     1,     1,     2	4.049440E-015       4.532110E-015       4.607006E-015       7.626434E-015       
     2,     2,     2	4.177485E-014       5.688980E-014       1.313234E-014       7.179168E-014       
     3,     3,     2	2.902389E-013       2.247403E-013       8.465879E-014       3.767147E-013       
     4,     4,     2	3.955324E-014       2.209703E-013       3.121548E-014       2.266423E-013       
     5,     5,     2	8.206291E-014       6.954977E-014       5.981242E-015       1.077370E-013       
     6,     6,     2	2.669082E-014       2.760979E-014       8.922724E-015       3.942481E-014       
     7,     7,     2	6.189668E-013       5.590626E-013       5.522585E-014       8.358952E-013       
     8,     8,     2	5.616141E-014       2.583247E-014       1.973597E-014       6.489167E-014       
     9,     9,     2	6.486823E-015       7.453218E-015       3.821348E-015       1.059396E-014       
    10,    10,     2	7.279784E-014       5.253344E-014       8.068335E-015       9.013538E-014       
    11,    11,     2	5.935754E-014       4.590656E-014       9.070131E-015       7.558437E-014       
    12,    12,     2	4.384043E-014       3.101365E-014       1.604079E-014       5.604584E-014       
    13,    13,     2	1.161423E-013       7.250280E-014       1.785949E-014       1.380748E-013       
    14,    14,     2	3.787985E-014       8.378236E-014       2.681964E-014       9.577923E-014       
    15,    15,     2	7.753356E-015       1.314560E-014       6.021658E-015       1.640676E-014       
    16,    16,     2	1.070969E-014       2.349933E-014       5.361386E-015       2.637538E-014       
    17,    17,     2	6.460765E-015       2.415645E-014       4.590376E-015       2.542336E-014       
    18,    18,     2	8.911899E-015       1.027899E-014       4.009905E-015       1.418305E-014       
    19,    19,     2	4.153220E-015       8.177101E-015       5.396578E-015       1.064130E-014       
    20,    20,     2	1.841221E-013       3.453842E-013       6.639389E-014       3.969878E-013       
    21,    21,     2	8.058105E-015       1.737266E-014       4.736704E-015       1.972762E-014       
    22,    22,     2	7.245182E-015       3.117276E-014       5.739115E-015       3.251416E-014       
    23,    23,     2	6.239524E-014       5.372668E-014       8.703307E-015       8.279777E-014       
    24,    24,     2	1.208895E-014       6.579806E-014       2.273170E-014       7.065591E-014       
    25,    25,     2	8.801945E-015       7.089301E-015       6.033168E-015       1.281138E-014       
    26,    26,     2	1.330938E-014       3.457449E-014       8.638830E-015       3.804161E-014       
    27,    27,     2	6.354448E-015       4.532712E-014       6.152513E-015       4.618203E-014       
    28,    28,     2	8.724934E-015       2.658435E-014       5.859593E-015       2.858648E-014       
    29,    29,     2	4.595063E-015       1.292441E-014       6.703620E-015       1.526740E-014       
    30,    30,     2	7.927066E-015       1.406027E-014       6.409334E-015       1.736690E-014       
    31,    31,     2	9.797028E-015       1.681964E-014       8.190191E-015       2.111780E-014       
    32,    32,     2	7.971725E-015       1.622900E-014       8.855864E-015       2.013344E-014       
    33,    33,     2	9.363784E-015       6.985883E-015       5.937358E-015       1.310478E-014       
    34,    34,     2	1.273752E-014       1.720815E-014       6.585309E-015       2.239936E-014       
    35,    35,     2	1.326949E-014       3.366552E-014       9.098704E-015       3.731264E-014       
    36,    36,     2	1.996764E-014       2.778788E-014       1.654848E-014       3.800954E-014       
    37,    37,     2	2.824444E-013       2.403478E-013       1.727759E-013       4.091374E-013       
    38,    38,     2	8.032224E-010       1.451873E-009       4.441935E-011       1.659842E-009       
