 #Line, #Time, #Iter	L2Norm MomentumX    L2Norm MomentumY    L2Norm ContiEq      L2Norm Total        
     1,     1,     2	2.137300E-015       5.830297E-015       1.050961E-015       6.298010E-015       
     2,     2,     2	1.813756E-015       2.091790E-015       1.770154E-015       3.286144E-015       
     3,     3,     2	2.665062E-015       5.202283E-015       2.108314E-015       6.213798E-015       
     4,     4,     2	4.888764E-015       3.738351E-015       2.503671E-015       6.644069E-015       
     5,     5,     2	4.614792E-013       5.463590E-013       8.191791E-014       7.198485E-013       
     6,     6,     2	5.694902E-015       8.917955E-015       2.541689E-015       1.088219E-014       
     7,     7,     2	3.594765E-015       3.439515E-015       2.510611E-015       5.572771E-015       
     8,     8,     2	6.328744E-015       1.105278E-014       2.540484E-015       1.298734E-014       
     9,     9,     2	1.048950E-014       5.314150E-014       4.196480E-015       5.432917E-014       
    10,    10,     2	4.648967E-015       1.433468E-014       3.097246E-015       1.538470E-014       
    11,    11,     2	6.043953E-015       1.688484E-014       2.507921E-015       1.810848E-014       
    12,    12,     2	1.022128E-014       4.563238E-014       3.530055E-015       4.689616E-014       
    13,    13,     2	8.811799E-015       1.310875E-014       2.271741E-015       1.595770E-014       
    14,    14,     2	2.307846E-014       2.211763E-014       3.140187E-015       3.211955E-014       
    15,    15,     2	4.476169E-015       5.015568E-015       2.463591E-015       7.159699E-015       
    16,    16,     2	1.082394E-014       2.417162E-014       2.420970E-015       2.659485E-014       
    17,    17,     2	6.903614E-015       1.944440E-014       2.022190E-015       2.073244E-014       
    18,    18,     2	5.665053E-015       8.475586E-015       2.377584E-015       1.046811E-014       
    19,    19,     2	6.879309E-015       6.161747E-015       2.320758E-015       9.522496E-015       
    20,    20,     2	1.138614E-013       2.200693E-013       2.339291E-014       2.488818E-013       
    21,    21,     2	1.585013E-013       2.410839E-013       4.040509E-014       2.913360E-013       
    22,    22,     2	2.241717E-014       7.788689E-014       6.432023E-014       1.034697E-013       
    23,    23,     2	6.371801E-015       2.446598E-014       2.892127E-015       2.544697E-014       
    24,    24,     2	1.070288E-014       2.407864E-014       2.498811E-015       2.646841E-014       
    25,    25,     2	9.448871E-015       3.018514E-014       8.053538E-015       3.263867E-014       
    26,    26,     2	1.378225E-014       3.693638E-014       3.271433E-015       3.955943E-014       
    27,    27,     2	1.137365E-014       3.879208E-014       2.915330E-015       4.053004E-014       
    28,    28,     2	4.089143E-012       1.059472E-011       1.663111E-013       1.135768E-011       
    29,    29,     2	1.898628E-014       1.373775E-014       1.627893E-014       2.853434E-014       
    30,    30,     2	3.664080E-014       3.459977E-014       5.165098E-015       5.065936E-014       
    31,    31,     2	9.706796E-015       2.228129E-014       2.907621E-015       2.447718E-014       
    32,    32,     2	9.069208E-015       2.348375E-014       2.582269E-015       2.530623E-014       
    33,    33,     2	5.201225E-014       1.413619E-013       1.496928E-014       1.513689E-013       
    34,    34,     2	1.647615E-014       4.150571E-014       2.601321E-015       4.473203E-014       
    35,    35,     2	1.523070E-014       3.336484E-014       1.427521E-014       3.935694E-014       
    36,    36,     2	7.297660E-015       6.325369E-015       2.318458E-015       9.931837E-015       
    37,    37,     2	2.856909E-014       5.982982E-014       1.186656E-013       1.359313E-013       
    38,    38,     2	2.110651E-014       6.926879E-014       3.332356E-014       7.971267E-014       
    39,    39,     2	3.224586E-014       6.000858E-014       4.097284E-014       7.949591E-014       
    40,    40,     2	3.065900E-014       7.683295E-014       2.132961E-014       8.542967E-014       
    41,    41,     2	6.473832E-015       1.100494E-014       2.440687E-015       1.299909E-014       
    42,    42,     2	6.038439E-015       1.380815E-014       2.322577E-015       1.524868E-014       
    43,    43,     2	8.748905E-015       1.621607E-014       2.435930E-015       1.858596E-014       
    44,    44,     2	1.172261E-014       6.390532E-014       1.919935E-014       6.774898E-014       
    45,    45,     2	6.584461E-015       1.623142E-014       1.446212E-014       2.271491E-014       
    46,    46,     2	1.751832E-014       5.318206E-014       1.446501E-014       5.783131E-014       
    47,    47,     2	5.443238E-015       1.055600E-014       2.894474E-015       1.222440E-014       
    48,    48,     2	3.434691E-015       7.031400E-015       2.477398E-015       8.208239E-015       
    49,    49,     2	2.262937E-012       7.529042E-012       6.607593E-014       7.862043E-012       
    50,    50,     2	5.213131E-015       7.889052E-015       2.429195E-015       9.762933E-015       
    51,    51,     2	4.212618E-014       6.978209E-014       9.318799E-015       8.204264E-014       
    52,    52,     2	4.654231E-015       9.381377E-015       2.689806E-015       1.081236E-014       
    53,    53,     2	5.602225E-014       1.278732E-013       7.397574E-015       1.398026E-013       
    54,    54,     2	1.364350E-014       3.840666E-014       1.107160E-014       4.223502E-014       
    55,    55,     2	6.058232E-014       7.256512E-014       1.993124E-014       9.660833E-014       
    56,    56,     2	5.262339E-015       7.143869E-015       2.710761E-015       9.277677E-015       
    57,    57,     2	3.186081E-015       1.190466E-014       2.207732E-015       1.251983E-014       
    58,    58,     2	4.027606E-015       1.300561E-014       2.525692E-015       1.384726E-014       
    59,    59,     2	9.605197E-014       2.399892E-013       5.581809E-014       2.644550E-013       
    60,    60,     2	1.605359E-014       2.141519E-014       1.716099E-014       3.179352E-014       
    61,    61,     2	4.528852E-015       1.614927E-014       2.366876E-015       1.693846E-014       
    62,    62,     2	6.805503E-014       6.273321E-014       3.032900E-014       9.740016E-014       
    63,    63,     2	4.025886E-015       5.257844E-015       2.365368E-015       7.031902E-015       
    64,    64,     2	4.820420E-015       6.298754E-015       2.099563E-015       8.204811E-015       
    65,    65,     2	1.298154E-014       4.167067E-014       4.322270E-015       4.385940E-014       
    66,    66,     2	6.438039E-015       1.315962E-014       3.418948E-015       1.504371E-014       
    67,    67,     2	3.491056E-015       1.332086E-014       2.093292E-015       1.392892E-014       
    68,    68,     2	4.106797E-015       6.181477E-015       2.385187E-015       7.795227E-015       
    69,    69,     2	5.275671E-015       1.309988E-014       1.821386E-015       1.423928E-014       
    70,    70,     2	5.668448E-015       6.872453E-015       2.087690E-015       9.149883E-015       
    71,    71,     2	6.874685E-015       1.198925E-014       2.332816E-015       1.401590E-014       
    72,    72,     2	6.657353E-015       6.672345E-015       2.677920E-015       9.798561E-015       
    73,    73,     2	4.948513E-015       1.303921E-014       2.741809E-015       1.421359E-014       
    74,    74,     2	6.353218E-014       1.445640E-013       7.205429E-014       1.735710E-013       
    75,    75,     2	1.261223E-014       2.536541E-014       6.782415E-014       7.350229E-014       
    76,    76,     2	4.442670E-015       1.460177E-014       2.024838E-015       1.539640E-014       
    77,    77,     2	6.359776E-015       2.028280E-014       3.824316E-015       2.159778E-014       
    78,    78,     2	4.542958E-015       1.463190E-014       1.931272E-015       1.544218E-014       
    79,    79,     2	3.739162E-012       2.880969E-012       2.224869E-012       5.218367E-012       
    80,    80,     2	9.357379E-015       1.829638E-014       1.287351E-014       2.424964E-014       
    81,    81,     2	9.752637E-015       2.133820E-014       4.986694E-014       5.511029E-014       
    82,    82,     2	5.810615E-015       8.934275E-015       2.157920E-015       1.087387E-014       
    83,    83,     2	8.065433E-015       1.413840E-014       3.937739E-015       1.674668E-014       
    84,    84,     2	4.295060E-015       7.772023E-015       2.023744E-015       9.107548E-015       
    85,    85,     2	5.892284E-015       1.066610E-014       1.960030E-015       1.234206E-014       
    86,    86,     2	6.082064E-015       1.467273E-014       4.318218E-015       1.645987E-014       
    87,    87,     2	5.711561E-015       6.583013E-015       2.575070E-015       9.087848E-015       
    88,    88,     2	4.957750E-015       1.444354E-014       4.004796E-015       1.578713E-014       
    89,    89,     2	5.260950E-015       9.984075E-015       1.922630E-015       1.144796E-014       
    90,    90,     2	6.229323E-014       8.613032E-014       3.800706E-014       1.128867E-013       
    91,    91,     2	7.847652E-015       1.232601E-014       2.337109E-015       1.479791E-014       
    92,    92,     2	9.966041E-015       2.749135E-014       8.941572E-015       3.057856E-014       
    93,    93,     2	7.144719E-015       1.969639E-014       1.758349E-014       2.735277E-014       
    94,    94,     2	3.910195E-015       1.186530E-014       2.086368E-015       1.266601E-014       
    95,    95,     2	7.985363E-015       1.568091E-014       4.860056E-015       1.825588E-014       
    96,    96,     2	1.659431E-014       2.359226E-014       3.034559E-015       2.900301E-014       
    97,    97,     2	1.181914E-014       2.956881E-014       1.047701E-014       3.352275E-014       
    98,    98,     2	2.222921E-011       1.472259E-010       2.471245E-013       1.488948E-010       
    99,    99,     2	4.037370E-015       1.050296E-014       1.893758E-015       1.141047E-014       
   100,   100,     2	4.477110E-015       6.226649E-015       1.710074E-015       7.857482E-015       
   101,   101,     2	1.073509E-014       5.185582E-014       6.043546E-015       5.329908E-014       
   102,   102,     2	2.190881E-010       2.485334E-010       7.514361E-013       3.313141E-010       
   103,   103,     2	3.092223E-011       1.092835E-010       4.600843E-013       1.135750E-010       
   104,   104,     2	5.335830E-015       1.150155E-014       1.751774E-015       1.279943E-014       
   105,   105,     2	7.388257E-015       8.698435E-015       2.602390E-015       1.170562E-014       
   106,   106,     2	4.126320E-015       1.005771E-014       3.710613E-015       1.148707E-014       
   107,   107,     2	7.010191E-015       1.157839E-014       1.511016E-014       2.028593E-014       
   108,   108,     2	4.701696E-011       7.460072E-011       9.874237E-013       8.818638E-011       
   109,   109,     2	4.608069E-015       8.021918E-015       1.514256E-014       1.774493E-014       
   110,   110,     2	1.166140E-010       5.826393E-011       3.210834E-012       1.303987E-010       
   111,   111,     2	1.119457E-010       1.210702E-010       7.960325E-013       1.648953E-010       
