2024-02-02 14:57:32,259 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridCommons.CheckGridForNANorINF new stack depth = 4
2024-02-02 14:57:32,259 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridCommons.CheckGridForNANorINF (0.0001689 sec, return to stack depth = 3)
2024-02-02 14:57:32,259 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData.ParallelSetup new stack depth = 4
2024-02-02 14:57:32,259 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridCommons.GetCellNeighbourship new stack depth = 5
2024-02-02 14:57:32,259 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridCommons.GetFaceTagsNeigbourIndices new stack depth = 6
2024-02-02 14:57:32,260 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Comm.Permutation.Invert new stack depth = 7
2024-02-02 14:57:32,260 INFO  BoSSS.Foundation.Comm.Permutation: finished transmission.
2024-02-02 14:57:32,260 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Comm.Permutation.Invert (0.0001968 sec, return to stack depth = 6)
2024-02-02 14:57:32,260 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Comm.Permutation.EvaluatePermutation new stack depth = 7
2024-02-02 14:57:32,260 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Comm.Permutation.EvaluatePermutation (0.0001798 sec, return to stack depth = 6)
2024-02-02 14:57:32,260 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridCommons.GetFaceTagsNeigbourIndices (0.0005634 sec, return to stack depth = 5)
2024-02-02 14:57:32,260 INFO  BoSSS.Foundation.Grid.Classic.GridCommons: r0: min Node 0 -- max Node 167 // Global No Of Nodes: 168
2024-02-02 14:57:32,261 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridCommons.GetCellNeighbourship (0.0014164 sec, return to stack depth = 4)
2024-02-02 14:57:32,261 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData.ParallelSetup (0.001728 sec, return to stack depth = 3)
2024-02-02 14:57:32,261 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData+CellData.Init new stack depth = 4
2024-02-02 14:57:32,262 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData+CellData.Init (0.0010286 sec, return to stack depth = 3)
2024-02-02 14:57:32,262 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.CollectEdges new stack depth = 4
2024-02-02 14:57:32,262 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.CollectEdges (0.000214 sec, return to stack depth = 3)
2024-02-02 14:57:32,262 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.DetermineEdgeTrafo new stack depth = 4
2024-02-02 14:57:32,266 INFO  BoSSS.Foundation.Grid.Classic.GridData+EdgeData: NoOf e2c: 10
2024-02-02 14:57:32,266 INFO  BoSSS.Foundation.Grid.Classic.GridData+EdgeData: No of edges: 231
2024-02-02 14:57:32,266 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.DetermineEdgeTrafo (0.0039688 sec, return to stack depth = 3)
2024-02-02 14:57:32,266 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.CollectBoundaryEdges new stack depth = 4
2024-02-02 14:57:32,266 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.CollectBoundaryEdges (0.0002801 sec, return to stack depth = 3)
2024-02-02 14:57:32,266 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.SetEdgeTags new stack depth = 4
2024-02-02 14:57:32,266 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.SetEdgeTags (0.0001972 sec, return to stack depth = 3)
2024-02-02 14:57:32,267 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.NegogiateNeighbourship new stack depth = 4
2024-02-02 14:57:32,267 INFO  BoSSS.Foundation.Grid.Classic.GridData+EdgeData: No of locally updated cells: 105
2024-02-02 14:57:32,267 INFO  ilPSP.Tracing.FuncTrace: BLKENTER SortOutBndyEdges new stack depth = 5
2024-02-02 14:57:32,267 INFO  ilPSP.Tracing.FuncTrace: LEAVING SortOutBndyEdges (2.09E-05 sec, return to stack depth = 4)
2024-02-02 14:57:32,267 INFO  ilPSP.Tracing.FuncTrace: BLKENTER LocalIndicesForeign new stack depth = 5
2024-02-02 14:57:32,267 INFO  ilPSP.Tracing.FuncTrace: LEAVING LocalIndicesForeign (3.44E-05 sec, return to stack depth = 4)
2024-02-02 14:57:32,267 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData.NegotiateOwnership new stack depth = 5
2024-02-02 14:57:32,267 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData.NegotiateOwnership (0.0001963 sec, return to stack depth = 4)
2024-02-02 14:57:32,267 INFO  ilPSP.Tracing.FuncTrace: BLKENTER ApplyPermutation new stack depth = 5
2024-02-02 14:57:32,267 INFO  ilPSP.Tracing.FuncTrace: LEAVING ApplyPermutation (2.26E-05 sec, return to stack depth = 4)
2024-02-02 14:57:32,267 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.NegogiateNeighbourship (0.0005124 sec, return to stack depth = 3)
2024-02-02 14:57:32,267 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.InitCells2Edges new stack depth = 4
2024-02-02 14:57:32,267 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.InitCells2Edges (0.0001737 sec, return to stack depth = 3)
2024-02-02 14:57:32,267 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.FinalizeAssembly new stack depth = 4
2024-02-02 14:57:32,267 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.FinalizeAssembly (0.000157 sec, return to stack depth = 3)
2024-02-02 14:57:32,268 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.ComputeSqrtGramian new stack depth = 4
2024-02-02 14:57:32,268 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.ComputeSqrtGramian (0.0004566 sec, return to stack depth = 3)
2024-02-02 14:57:32,268 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.Initialize_h_Edge new stack depth = 4
2024-02-02 14:57:32,268 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.Initialize_h_Edge (0.0002385 sec, return to stack depth = 3)
2024-02-02 14:57:32,268 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.InitNormals new stack depth = 4
2024-02-02 14:57:32,269 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData+EdgeData.InitNormals (0.0006052 sec, return to stack depth = 3)
2024-02-02 14:57:32,269 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData+CellData.InitializeCellSurfaceArea new stack depth = 4
2024-02-02 14:57:32,270 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Comm.VectorTransceiver`2.TransceiveFinish new stack depth = 5
2024-02-02 14:57:32,270 INFO  BoSSS.Foundation.Comm.VectorTransceiver`2: transfer finished
2024-02-02 14:57:32,270 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Comm.VectorTransceiver`2.TransceiveFinish (0.0001716 sec, return to stack depth = 4)
2024-02-02 14:57:32,270 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData+CellData.InitializeCellSurfaceArea (0.0009297 sec, return to stack depth = 3)
2024-02-02 14:57:32,270 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData+CellData.InitializeCk new stack depth = 4
2024-02-02 14:57:32,270 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Comm.VectorTransceiver`2.TransceiveFinish new stack depth = 5
2024-02-02 14:57:32,270 INFO  BoSSS.Foundation.Comm.VectorTransceiver`2: transfer finished
2024-02-02 14:57:32,270 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Comm.VectorTransceiver`2.TransceiveFinish (0.000157 sec, return to stack depth = 4)
2024-02-02 14:57:32,270 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Comm.VectorTransceiver`2.TransceiveFinish new stack depth = 5
2024-02-02 14:57:32,270 INFO  BoSSS.Foundation.Comm.VectorTransceiver`2: transfer finished
2024-02-02 14:57:32,270 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Comm.VectorTransceiver`2.TransceiveFinish (0.0001934 sec, return to stack depth = 4)
