 #Line, #Time, #Iter	L2Norm MomentumX    L2Norm MomentumY    L2Norm ContiEq      L2Norm Total        
    75,    75,     2	1.298636E-014       2.979363E-014       6.737555E-015       3.319187E-014       
    76,    76,     2	2.496769E-014       9.532587E-014       8.794941E-015       9.893310E-014       
    77,    77,     2	1.646439E-014       4.683104E-014       6.547037E-015       5.007082E-014       
    78,    78,     2	2.628998E-014       8.868710E-014       1.443743E-014       9.362160E-014       
    79,    79,     2	2.781558E-014       9.498232E-014       1.452503E-014       1.000316E-013       
    80,    80,     2	2.417605E-014       7.905964E-014       1.053077E-014       8.334150E-014       
    81,    81,     2	3.554282E-014       1.086002E-013       1.312540E-014       1.150199E-013       
    82,    82,     2	2.603317E-014       1.427506E-013       1.696052E-014       1.460929E-013       
    83,    83,     2	3.098327E-014       1.722959E-013       1.238421E-014       1.754971E-013       
    84,    84,     2	5.157941E-014       2.467623E-013       1.730927E-014       2.526889E-013       
    85,    85,     2	4.807604E-014       1.824006E-013       1.832204E-014       1.895177E-013       
    86,    86,     2	9.296105E-015       1.401548E-014       1.361208E-014       2.163654E-014       
    87,    87,     2	9.330781E-015       1.099231E-014       1.570344E-014       2.131882E-014       
    88,    88,     2	9.812575E-015       1.243013E-014       1.260127E-014       2.023825E-014       
    89,    89,     2	1.152253E-014       1.076869E-014       2.183099E-015       1.592166E-014       
    90,    90,     2	1.054055E-014       1.132456E-014       7.106443E-015       1.702499E-014       
    91,    91,     2	1.201019E-014       1.233241E-014       2.848828E-014       3.328536E-014       
    92,    92,     2	1.016778E-014       1.140763E-014       7.516180E-015       1.702970E-014       
    93,    93,     2	1.097536E-014       1.171827E-014       7.041230E-015       1.753155E-014       
    94,    94,     2	1.089590E-014       1.297326E-014       3.476311E-015       1.729482E-014       
    95,    95,     2	1.329771E-014       1.241582E-014       3.059008E-014       3.559122E-014       
    96,    96,     2	1.334759E-014       1.309218E-014       1.629225E-014       2.479921E-014       
    97,    97,     2	9.904305E-015       1.380207E-014       4.401471E-015       1.754894E-014       
    98,    98,     2	1.199405E-014       1.213616E-014       2.654061E-014       3.155230E-014       
    99,    99,     2	1.306720E-014       1.336256E-014       1.249242E-014       2.248045E-014       
   100,   100,     2	1.769553E-014       1.469745E-014       8.404529E-015       2.449047E-014       
   101,   101,     2	1.127534E-014       1.333373E-014       6.232626E-015       1.854096E-014       
   102,   102,     2	1.070399E-014       1.410933E-014       2.410990E-014       2.991548E-014       
   103,   103,     2	1.388153E-014       1.361748E-014       3.540498E-014       4.039363E-014       
   104,   104,     2	1.551893E-014       1.456641E-014       2.044415E-014       2.951239E-014       
   105,   105,     2	1.227452E-014       1.310694E-014       2.094628E-014       2.758990E-014       
   106,   106,     2	1.341740E-014       1.148506E-014       3.568067E-014       3.981260E-014       
   107,   107,     2	1.145151E-014       1.368387E-014       2.464764E-014       3.042847E-014       
   108,   108,     2	1.101246E-014       1.276336E-014       1.789125E-014       2.458199E-014       
   109,   109,     2	1.078239E-014       1.327650E-014       1.044048E-014       2.003819E-014       
   110,   110,     2	1.099520E-014       1.219526E-014       2.699446E-014       3.159619E-014       
   111,   111,     2	1.213390E-014       1.418271E-014       3.491060E-014       3.958700E-014       
   112,   112,     2	9.305424E-015       1.247835E-014       3.084600E-014       3.455107E-014       
   113,   113,     2	1.078926E-014       1.190431E-014       1.322319E-014       2.080802E-014       
   114,   114,     2	1.167707E-014       1.242305E-014       1.016811E-014       1.985136E-014       
   115,   115,     2	1.236922E-014       1.174890E-014       1.732523E-014       2.431456E-014       
   116,   116,     2	9.033204E-015       1.054973E-014       5.252613E-015       1.484876E-014       
   117,   117,     2	1.005655E-014       1.044560E-014       1.835450E-014       2.339086E-014       
   118,   118,     2	4.513822E-014       2.462654E-013       1.170392E-014       2.506413E-013       
   119,   119,     2	2.599189E-014       1.202593E-013       8.047517E-015       1.232990E-013       
   120,   120,     2	3.148901E-014       1.589814E-013       9.595391E-015       1.623537E-013       
   121,   121,     2	1.893814E-014       7.758233E-014       9.781708E-015       8.045715E-014       
   122,   122,     2	2.393528E-014       8.801906E-014       2.223632E-014       9.388667E-014       
   123,   123,     2	3.855440E-014       1.792330E-013       9.852720E-015       1.835974E-013       
   124,   124,     2	1.912073E-014       4.571029E-014       4.526709E-014       6.711290E-014       
   125,   125,     2	1.467637E-014       4.953112E-014       3.739206E-014       6.377221E-014       
   126,   126,     2	1.133498E-014       3.509299E-014       4.473599E-015       3.714853E-014       
   127,   127,     2	1.015849E-014       3.417019E-014       8.680484E-015       3.668989E-014       
   128,   128,     2	8.042718E-015       3.474483E-014       1.583611E-014       3.902142E-014       
   129,   129,     2	8.330895E-015       3.714733E-014       1.731935E-014       4.182449E-014       
   130,   130,     2	6.752030E-015       1.683304E-014       9.971123E-015       2.069697E-014       
   131,   131,     2	6.151091E-015       2.389962E-014       2.166973E-015       2.477344E-014       
   132,   132,     2	1.122865E-014       2.727695E-014       9.394106E-014       9.846338E-014       
   133,   133,     2	4.931678E-015       1.407108E-014       8.893906E-015       1.736140E-014       
   134,   134,     2	1.241591E-014       4.805529E-014       1.060905E-013       1.171267E-013       
   135,   135,     2	5.422787E-015       1.902127E-014       3.190308E-014       3.753694E-014       
   136,   136,     2	6.799540E-015       1.282729E-014       1.487322E-014       2.078427E-014       
   137,   137,     2	9.890835E-015       2.757098E-014       8.254767E-015       3.043237E-014       
   138,   138,     2	9.827149E-015       5.135547E-014       5.085350E-015       5.253397E-014       
   139,   139,     2	6.758269E-015       3.687720E-014       5.922249E-014       7.009211E-014       
   140,   140,     2	1.698243E-014       5.847800E-014       2.985649E-015       6.096715E-014       
   141,   141,     2	1.146765E-014       5.129917E-014       9.847810E-015       5.347982E-014       
   142,   142,     2	1.516706E-014       8.254730E-014       9.206809E-014       1.245818E-013       
   143,   143,     2	1.245932E-014       8.537345E-014       3.046315E-015       8.633158E-014       
   144,   144,     2	1.817147E-014       1.030697E-013       4.879440E-014       1.154750E-013       
   145,   145,     2	2.563672E-014       8.483955E-014       7.946193E-015       8.898389E-014       
   146,   146,     2	1.854435E-014       6.092329E-014       4.780343E-015       6.386229E-014       
   147,   147,     2	1.889930E-014       6.923067E-014       1.830459E-013       1.966109E-013       
   148,   148,     2	2.345862E-014       1.260588E-013       9.907840E-015       1.286051E-013       
   149,   149,     2	3.998787E-014       1.446354E-013       1.177584E-014       1.505228E-013       
   150,   150,     2	2.463182E-014       1.134106E-013       1.563553E-014       1.171032E-013       
   151,   151,     2	4.553637E-014       1.880277E-013       9.317312E-015       1.936873E-013       
   152,   152,     2	3.421539E-014       1.681126E-013       6.573726E-015       1.716851E-013       
   153,   153,     2	9.208753E-015       1.098969E-014       1.080915E-014       1.795584E-014       
   154,   154,     2	9.336889E-015       9.726874E-015       1.500170E-014       2.017029E-014       
   155,   155,     2	1.031006E-014       9.273911E-015       1.231039E-014       1.854315E-014       
   156,   156,     2	1.185536E-014       1.290071E-014       6.787243E-015       1.878948E-014       
   157,   157,     2	8.903614E-015       1.125998E-014       7.053641E-015       1.599423E-014       
   158,   158,     2	8.555030E-015       1.073711E-014       1.895135E-014       2.340145E-014       
   159,   159,     2	1.343947E-014       1.257805E-014       5.632340E-015       1.924967E-014       
   160,   160,     2	1.075867E-014       1.135091E-014       7.249788E-015       1.723809E-014       
   161,   161,     2	1.023272E-014       1.134930E-014       9.983954E-015       1.825361E-014       
   162,   162,     2	1.320203E-014       1.579495E-014       1.174603E-014       2.370113E-014       
   163,   163,     2	1.328115E-014       1.300788E-014       1.186621E-014       2.205450E-014       
   164,   164,     2	1.105480E-014       1.294892E-014       9.002832E-015       1.925965E-014       
   165,   165,     2	1.432913E-014       1.459019E-014       3.750142E-015       2.079089E-014       
   166,   166,     2	1.121146E-014       1.526422E-014       2.051951E-014       2.792389E-014       
   167,   167,     2	1.202620E-014       1.354251E-014       7.062093E-015       1.943971E-014       
   168,   168,     2	9.828143E-015       1.104109E-014       1.069103E-014       1.824271E-014       
   169,   169,     2	1.160010E-014       1.375443E-014       5.335083E-015       1.876725E-014       
   170,   170,     2	1.105740E-014       1.178437E-014       1.394586E-014       2.134536E-014       
   171,   171,     2	1.119120E-014       1.441395E-014       1.373093E-014       2.283732E-014       
