 #Line, #Time, #Iter	L2Norm MomentumX    L2Norm MomentumY    L2Norm ContiEq      L2Norm Total        
     1,     1,     2	1.716949E-015       4.658387E-015       1.288517E-015       5.129207E-015       
     2,     2,     2	3.008608E-015       1.268913E-014       3.258314E-015       1.344182E-014       
     3,     3,     2	5.608445E-015       1.765980E-014       1.039674E-014       2.124654E-014       
     4,     4,     2	6.842721E-015       3.142882E-014       6.796912E-015       3.287540E-014       
     5,     5,     2	1.245736E-014       3.153678E-014       1.542542E-014       3.725182E-014       
     6,     6,     2	1.784965E-014       9.361171E-014       1.227631E-014       9.608574E-014       
     7,     7,     2	3.101180E-014       9.882970E-014       4.106782E-015       1.036625E-013       
     8,     8,     2	8.005470E-014       2.790849E-013       6.283932E-015       2.904077E-013       
     9,     9,     2	2.774430E-013       8.373930E-013       1.190389E-013       8.901527E-013       
    10,    10,     2	2.081577E-012       2.085199E-012       4.023116E-013       2.973696E-012       
    11,    11,     2	1.216375E-012       2.649664E-012       7.470887E-013       3.009722E-012       
    12,    12,     2	1.573442E-010       1.176331E-010       2.380574E-011       1.978926E-010       
